qid,type,question,gold,prediction,em,f1,chain_complete,gap_type,gold_entity_count,gold_entity_coverage,gold_pair_count,gold_pair_recall,gold_relation_recall,gold_pair_complete,gold_relation_complete,gold_evidence_nodes_connected,matched_gold_entities,missing_gold_entities,repair_attempted,repair_outcome,repair_triples_extracted,repair_triples_added,repair_llm_calls
f8819f3308a011ebbd78ac1f6bf848b6,bridge_comparison,"Which film has the director who died later, The Death Kiss or Her Luck In London?",Her Luck In London,Her Luck In London,1.0,1.0,False,missing_entities,7,0.7142857142857143,4,0.5,0.0,False,False,False,Edwin L. Marin | Her Luck In London | Her Luck in London | Maurice Elvey | The Death Kiss,"28 August 1967 | May 2, 1951",True,repair_residual_gap,59,59,7
22a62e140bde11eba7f7acde48001122,compositional,"When did Joanna Of Aragon, Countess Of Foix's mother die?",23 October 1378,23 October 1378,1.0,1.0,False,missing_entities,3,0.6666666666666666,2,0.5,0.5,False,False,False,23 October 1378 | Martha of Armagnac,"Joanna of Aragon, Countess of Foix",True,repair_residual_gap,29,29,2
f64d2f04086111ebbd5dac1f6bf848b6,bridge_comparison,"Which film whose director is younger, Hell To Pay (2014 Film) or Darwin'S Nightmare?",Darwin'S Nightmare,Darwin'S Nightmare,1.0,1.0,False,missing_entities,7,0.8571428571428571,4,0.5,0.0,False,False,False,"27 July 1966 | August 23, 1965 | Darwin'S Nightmare | Darwin's Nightmare | Hubert Sauper | Jay Jennings",Hell to Pay (2014 film),True,repair_residual_gap,31,31,2
fec1cc4a087911ebbd67ac1f6bf848b6,bridge_comparison,"Which film has the director who was born later, Así En El Cielo Como En La Tierra or Buck And The Preacher?",Así En El Cielo Como En La Tierra,Así En El Cielo Como En La Tierra,1.0,1.0,False,missing_entities,7,0.8571428571428571,4,0.5,0.0,False,False,False,"Así En El Cielo Como En La Tierra | Así en el cielo como en la tierra | Buck and the Preacher | February 20, 1927 | José Luis Cuerda | Sidney Poitier",18 February 1947,True,repair_residual_gap,42,42,7
0729da3c0bde11eba7f7acde48001122,compositional,"What is the date of death of Philibert I, Duke Of Savoy's mother?",23 August 1478,23 August 1478,1.0,1.0,False,missing_entities,3,0.3333333333333333,2,0.0,0.0,False,False,False,Yolande of Valois,"23 August 1478 | Philibert I, Duke of Savoy",True,repair_residual_gap,57,57,7
65a915cc0bda11eba7f7acde48001122,compositional,Which country Count Of St. Germain's father is from?,Hungarian,Hungary,0.0,0.0,False,missing_entities,3,0.6666666666666666,2,0.0,0.0,False,False,False,Francis II Rákóczi | The Comte de Saint Germain,Hungarian,True,repair_residual_gap,34,34,3
77dc576a0bdd11eba7f7acde48001122,compositional,Where was the director of film He'S A Cockeyed Wonder born?,London,England,0.0,0.0,False,missing_entities,3,0.6666666666666666,2,0.5,0.0,False,False,False,He's a Cockeyed Wonder | Peter Godfrey,London,True,repair_residual_gap,13,13,1
d18d25fa084f11ebbd56ac1f6bf848b6,bridge_comparison,"Which film has the director died first, Köpekler Adası or Twisted Mistress?",Twisted Mistress,Twisted Mistress,1.0,1.0,True,complete,6,0.6666666666666666,4,0.5,0.0,False,False,False,André Cayatte | Halit Refiğ | Köpekler Adası | Twisted Mistress,11 October 2009 | 6 February 1989,False,not_attempted,0,0,0
1a3535d20bdd11eba7f7acde48001122,compositional,Which award the composer of film Howrah Bridge (Film) earned?,Filmfare Award,Filmfare Award,1.0,1.0,False,disconnected,3,0.6666666666666666,2,0.5,0.0,False,False,False,Howrah Bridge | O. P. Nayyar,Filmfare Award,True,repair_residual_gap,2,2,1
cab3205608d411ebbd98ac1f6bf848b6,comparison,"Which film came out earlier, Der Wixxer or The Butterfly Room?",Der Wixxer,Der Wixxer,1.0,1.0,True,complete,4,0.5,2,0.0,0.0,False,False,False,Der Wixxer | The Butterfly Room,2004 | 2012,False,not_attempted,0,0,0
06df84220bda11eba7f7acde48001122,compositional,"Where was the husband of Wilhelmine Of Prussia, Margravine Of Brandenburg-Bayreuth born?",Weferlingen,Weferlingen,1.0,1.0,False,missing_entities,3,0.3333333333333333,2,0.0,0.0,False,False,False,Weferlingen,"Frederick | Wilhelmine of Prussia, Margravine of Brandenburg-Bayreuth",True,repair_residual_gap,18,18,2
36ecf33a0bde11eba7f7acde48001122,compositional,Where did the director of film Things Behind The Sun study?,"UCLA School of Theater, Film and Television","UCLA School of Theater, Film and Television",1.0,1.0,False,missing_entities,3,1.0,2,1.0,0.0,True,False,True,"Allison Anders | Things Behind the Sun | UCLA School of Theater, Film and Television",,True,repair_residual_gap,7,7,2
c2ccbd23087811ebbd67ac1f6bf848b6,comparison,"Are the movies About A Wife, A Dream And Another... and The Doolins Of Oklahoma, from the same country?",no,no,1.0,1.0,False,missing_entities,5,0.4,2,0.0,0.0,False,False,False,"About a Wife, a Dream and Another... | The Doolins of Oklahoma",American | Russian | no,True,repair_residual_gap,34,34,10
ce9cda1608a111ebbd79ac1f6bf848b6,comparison,"Which film was released first, My Friend Pinto or Vindhyarani?",Vindhyarani,Vindhyarani,1.0,1.0,True,complete,4,0.5,2,0.0,0.0,False,False,False,My Friend Pinto | Vindhyarani,1948 | 2011,True,repair_to_complete,7,7,1
c4bdfbea08c911ebbd92ac1f6bf848b6,comparison,Was Ausaf Ali or Steven Perry born first?,Ausaf Ali,Ausaf Ali,1.0,1.0,True,complete,4,0.75,2,0.5,0.0,False,False,False,"11 May 1982 | September 7, 1988 | Steven Perry",Ausaf Ali,True,repair_to_complete,17,17,1
500cf3b40bda11eba7f7acde48001122,compositional,What is the place of birth of Aurelio De Laurentiis's father?,Torre Annunziata,unsupported,0.0,0.0,True,complete,3,0.6666666666666666,2,0.5,0.0,False,False,False,Aurelio De Laurentiis | Luigi De Laurentiis,Torre Annunziata,False,not_attempted,0,0,0
f0441dea0bd911eba7f7acde48001122,compositional,Where was the founder of magazine Amazing Stories born?,Luxembourgish,Luxembourg,0.0,0.0,True,complete,3,0.6666666666666666,2,0.0,0.0,False,False,False,Amazing Stories | Hugo Gernsback,Luxembourgish,False,not_attempted,0,0,0
afc5b57c0bdd11eba7f7acde48001122,compositional,Where did Crow Foot's father die?,United States,Standing Rock Indian Reservation,0.0,0.0,True,complete,3,1.0,2,0.0,0.0,False,False,False,Crow Foot | Sitting Bull | United States,,False,not_attempted,0,0,0
e66957060baf11ebab90acde48001122,inference,Who is Amalie Adlerberg's stepfather?,"Karl Alexander, 5th Prince of Thurn and Taxis",Karl Alexander,0.0,0.4,True,complete,3,1.0,2,0.5,0.0,False,False,False,"Countess Amalie Maximilianovna Adlerberg | Duchess Therese of Mecklenburg-Strelitz | Karl Alexander, 5th Prince of Thurn and Taxis",,True,repair_to_complete,16,16,1
e1d2c3a708af11ebbd83ac1f6bf848b6,bridge_comparison,"Which film whose director is younger, Outlaw King or Gunman'S Walk?",Outlaw King,Outlaw King,1.0,1.0,True,complete,7,0.7142857142857143,4,0.5,0.0,False,False,False,10 May 1966 | David Mackenzie | Gunman's Walk | Outlaw King | Phil Karlson,"David Mackenzie (director) | July 2, 1908",False,not_attempted,0,0,0
2e2fabfc095e11ebbdafac1f6bf848b6,comparison,"Which film was released more recently, Scandal At The Girls' School or One Dangerous Night?",Scandal At The Girls' School,Scandal At The Girls' School,1.0,1.0,False,missing_entities,5,0.6,2,0.0,0.0,False,False,False,One Dangerous Night | Scandal At The Girls' School | Scandal at the Girls' School,1943 | 1953,True,repair_residual_gap,18,18,3
0d4b4cfc0bde11eba7f7acde48001122,compositional,Which country Ronald Dewolf's father is from?,American,United States,0.0,0.0,True,complete,3,0.6666666666666666,2,0.0,0.0,False,False,False,"Lafayette Ronald Hubbard | Ronald Edward ""Ron"" DeWolf",American,True,repair_to_complete,9,9,1
16915f740bdc11eba7f7acde48001122,compositional,Where was the place of death of the director of film Romulus And The Sabines?,Le Plessis-Bouchard,Le Plessis-Bouchard,1.0,1.0,False,missing_entities,3,1.0,2,0.5,0.0,False,False,True,Le Plessis-Bouchard | Richard Pottier | Romulus and the Sabines,,True,repair_residual_gap,47,47,2
7cb81afc0bd911eba7f7acde48001122,compositional,What is the place of birth of the director of film The Return Of Swamp Thing?,New York,"Glen Cove, New York",0.0,0.6667,False,missing_entities,3,0.6666666666666666,2,0.0,0.0,False,False,False,Jim Wynorski | The Return of Swamp Thing,New York,True,repair_residual_gap,17,17,1
ff2926840bd911eba7f7acde48001122,compositional,Who is the father of the director of film The Thousand Faces Of Dunjia?,Yuen Siu-tien,Yuen Siu-tien,1.0,1.0,False,missing_entities,3,1.0,2,1.0,0.0,True,False,True,The Thousand Faces of Dunjia | Yuen Siu-tien | Yuen Woo-ping,,True,repair_residual_gap,20,20,2
bf3aacfc086211ebbd5dac1f6bf848b6,bridge_comparison,"Which film has the director who is older, Aardram or Land And Freedom?",Land And Freedom,Land And Freedom,1.0,1.0,False,missing_entities,7,1.0,4,0.5,0.0,False,False,False,17 June 1936 | 30 July 1956 | Aardram | Ken Loach | Land And Freedom | Land and Freedom | Suresh Unnithan,,True,repair_residual_gap,42,42,7
08292515088411ebbd6dac1f6bf848b6,comparison,"Which film came out first, Stella'S Oorlog or Sampathige Savaal?",Sampathige Savaal,Sampathige Savaal,1.0,1.0,True,complete,4,0.5,2,0.0,0.0,False,False,False,Sampathige Savaal | Stella's oorlog,1974 | 2009,False,not_attempted,0,0,0
dfe5c5e8088211ebbd6dac1f6bf848b6,comparison,"Who was born later, Jean-Jacques Rousseau or Richard Cawley?",Richard Cawley,Richard Cawley,1.0,1.0,True,complete,4,1.0,2,1.0,0.0,True,False,False,28 June 1712 | 28 May 1947 | Jean-Jacques Rousseau | Richard Cawley,,False,not_attempted,0,0,0
7b3f24c80bdd11eba7f7acde48001122,compositional,Where did the director of film Journal Of A Crime die?,New York,New York,1.0,1.0,False,missing_entities,3,1.0,2,0.5,0.0,False,False,False,Journal of a Crime | New York | William Keighley,,True,repair_residual_gap,20,20,3
c6339a040bdd11eba7f7acde48001122,compositional,What is the place of birth of the director of film Growing Up Smith?,Melbourne,Australia,0.0,0.0,True,complete,3,0.6666666666666666,2,0.5,0.0,False,False,False,Frank Lotito | Growing Up Smith,Melbourne,False,not_attempted,0,0,0
9bdc27880bda11eba7f7acde48001122,compositional,What is the place of birth of the composer of song Bullet (Misfits Song)?,"Lodi, New Jersey","Lodi, New Jersey",1.0,1.0,False,missing_entities,3,1.0,2,0.5,0.0,False,False,False,"Bullet | Glenn Danzig | Lodi, New Jersey",,True,repair_residual_gap,9,9,1
95fc33400bd911eba7f7acde48001122,compositional,What nationality is Prince Napoléon Bonaparte's father?,French,French,1.0,1.0,True,complete,3,0.6666666666666666,2,0.5,0.0,False,False,False,Jérôme Bonaparte | Napoléon Joseph Charles Paul Bonaparte,French,True,repair_to_complete,22,22,1
680863e20bdd11eba7f7acde48001122,compositional,Where was the place of death of the director of film Sensational Janine?,Gräfelfing,"Gräfelfing, Bavaria",0.0,0.6667,True,complete,3,0.6666666666666666,2,0.5,0.0,False,False,False,Hans Billian | Sensational Janine,Gräfelfing,True,repair_to_complete,36,36,5
1c5985f60bde11eba7f7acde48001122,compositional,"What is the date of death of Charles Mills, 1St Baron Hillingdon's father?",4 October 1872,4 October 1872,1.0,1.0,True,complete,3,0.3333333333333333,2,0.0,0.0,False,False,False,"Sir Charles Mills, 1st Baronet","4 October 1872 | Charles Henry Mills, 1st Baron Hillingdon",True,repair_to_complete,22,22,1
6034a51a093811ebbdaeac1f6bf848b6,comparison,"Do the movies Seven Sinners (1936 Film) and Everyday (Film), originate from the same country?",yes,yes,1.0,1.0,True,complete,4,0.0,2,0.0,0.0,False,False,False,,British | Everyday (film) | Seven Sinners (1936 film) | yes,False,not_attempted,0,0,0
01245b60088411ebbd6dac1f6bf848b6,bridge_comparison,"Which film has the director born later, Occhio, Malocchio, Prezzemolo E Finocchio or Jailhouse Rock (Film)?","Occhio, Malocchio, Prezzemolo E Finocchio","Occhio, Malocchio, Prezzemolo E Finocchio",1.0,1.0,True,complete,7,1.0,4,1.0,0.25,True,False,False,"19 July 1938 | February 24, 1896 | Jailhouse Rock (film) | Occhio, Malocchio, Prezzemolo E Finocchio | Occhio, malocchio, prezzemolo e finocchio | Richard Thorpe | Sergio Martino",,False,not_attempted,0,0,0
6392cf220bde11eba7f7acde48001122,compositional,What is the place of birth of Henrik Selberg's father?,Flora,Flora,1.0,1.0,True,complete,3,1.0,2,1.0,0.5,True,False,True,Flora | Henrik Selberg | Ole Michael Ludvigsen Selberg,,False,not_attempted,0,0,0
21906d320bde11eba7f7acde48001122,compositional,Where did M. K. Muthu's father die?,kauvery hospital,Chennai,0.0,0.0,True,complete,3,1.0,2,0.0,0.0,False,False,False,Karunanidhi | M. K. Muthu | kauvery hospital,,False,not_attempted,0,0,0
474ea44a0bb011ebab90acde48001122,inference,"Who is the paternal grandfather of James Fitzgerald, 8Th Earl Of Desmond?","James FitzGerald, 6th Earl of Desmond",James FitzGerald,0.0,0.5,False,missing_entities,4,1.0,2,0.5,0.0,False,False,False,"James FitzGerald, 6th Earl of Desmond | James FitzGerald, 8th Earl of Desmond | Thomas FitzGerald | Thomas FitzGerald, 7th Earl of Desmond",,True,repair_residual_gap,39,39,7
063270da08af11ebbd83ac1f6bf848b6,bridge_comparison,"Which film has the director who was born later, Attack Of Life: The Bang Tango Movie or King Kong (2005 Film)?",Attack Of Life: The Bang Tango Movie,Attack Of Life: The Bang Tango Movie,1.0,1.0,False,missing_entities,7,0.8571428571428571,4,0.5,0.0,False,False,False,"31 October 1961 | Attack Of Life: The Bang Tango Movie | Attack of Life: The Bang Tango Movie | Drew Fortier | July 14, 1987 | Peter Jackson",King Kong (2005 film),True,repair_residual_gap,19,19,3
dcfe2a500bd911eba7f7acde48001122,compositional,Where did Niklas Frank's father die?,Nuremberg,Nuremberg,1.0,1.0,False,short_chain,3,0.6666666666666666,2,0.0,0.0,False,False,False,Hans Frank | Niklas Frank,Nuremberg,False,not_attempted,0,0,0
16a549d40bb011ebab90acde48001122,inference,Who is Mary Of Bourbon's paternal grandfather?,Francis,Let’s consider,0.0,0.0,False,missing_entities,3,0.6666666666666666,2,0.5,0.5,False,False,False,"Charles, Duke of Vendôme | Mary of Bourbon",Francis,True,repair_residual_gap,32,32,2
8cdd86760baf11ebab90acde48001122,inference,Who is the paternal grandfather of Diarmait Ua Briain?,Tadc mac Briain,Tadc mac Briain,1.0,1.0,True,complete,3,1.0,2,0.5,0.0,False,False,True,Diarmait Ua Briain | Tadc mac Briain | Toirdelbach Ua Briain,,False,not_attempted,0,0,0
a00f22640bdb11eba7f7acde48001122,compositional,Where did the director of film Search And Destroy (1995 Film) study?,California Institute of the Arts,California Institute of the Arts,1.0,1.0,False,missing_entities,3,1.0,2,1.0,0.0,True,False,True,California Institute of the Arts | David Salle | Search and Destroy,,True,repair_residual_gap,30,30,2
4ca173ac0bdb11eba7f7acde48001122,compositional,What is the place of birth of the director of film Pages Of Life (Film)?,Concepción,"Concepción, Chile",0.0,0.6667,False,missing_entities,3,0.6666666666666666,2,0.5,0.0,False,False,False,Adelqui Migliar | Pages of Life,Concepción,True,repair_residual_gap,11,11,2
3bb9590e0bb011ebab90acde48001122,inference,Who is the paternal grandfather of Uskhal Khan Tögüs Temür?,Khutughtu Khan,FINAL,0.0,0.0,True,complete,3,0.6666666666666666,2,0.0,0.0,False,False,False,Toghon Temür | Uskhal Khan Tögüs Temür,Khutughtu Khan,False,not_attempted,0,0,0
a638412a0bdb11eba7f7acde48001122,compositional,Where did the director of film Carbon (Film) study?,Film and Television Institute of India,Pune,0.0,0.0,False,short_chain,3,1.0,2,1.0,0.0,True,False,True,Carbon | Film and Television Institute of India | Venu,,False,not_attempted,0,0,0
f4a616ac0bae11ebab90acde48001122,inference,"Who is the paternal grandmother of Renaud Iii, Count Of Soissons?","Adelaide, Countess of Soissons",Lesceline,0.0,0.0,False,missing_entities,3,0.3333333333333333,2,0.0,0.0,False,False,False,"John I, Count of Soissons","Adelaide, Countess of Soissons | Renaud III, Count of Soissons",True,repair_residual_gap,8,8,1
1222be100baf11ebab90acde48001122,inference,Who is Sultan Hatun's mother-in-law?,Emine Hatun,Valide Sultan Emine Hatun,0.0,0.6667,True,complete,3,1.0,2,0.5,0.5,False,False,False,Emine Hatun | Murad II | Sultan Hatun,,False,not_attempted,0,0,0
080aff1c0bde11eba7f7acde48001122,compositional,"What is the place of birth of Geoffrey Plantagenet, Count Of Anjou's wife?",Westminster,Not specified,0.0,0.0,True,complete,3,1.0,2,0.0,0.0,False,False,True,"Empress Matilda | Geoffrey Plantagenet, Count of Anjou | Westminster",,True,repair_to_complete,8,8,1
1c0f99380bdd11eba7f7acde48001122,compositional,Where was the director of film War Of The Buttons (1994 Film) born?,"Buffalo, New York",But the question asks,0.0,0.0,False,missing_entities,3,1.0,2,0.5,0.0,False,False,False,"Buffalo, New York | John Roberts | War of the Buttons",,True,repair_residual_gap,29,29,2
04f1ab4808c611ebbd90ac1f6bf848b6,comparison,"Which film was released more recently, Sacred Silence or Ek Haseena Thi Ek Deewana Tha?",Ek Haseena Thi Ek Deewana Tha,Ek Haseena Thi Ek Deewana Tha,1.0,1.0,True,complete,4,0.5,2,0.0,0.0,False,False,False,Ek Haseena Thi Ek Deewana Tha | Sacred Silence,1996 | 2017,False,not_attempted,0,0,0
38056cd40bde11eba7f7acde48001122,compositional,"When did Thomas Knox, 3Rd Earl Of Ranfurly's father die?",21 March 1858,21 March 1858,1.0,1.0,False,missing_entities,3,1.0,2,0.0,0.0,False,False,True,"21 March 1858 | Thomas Knox, 3rd Earl of Ranfurly | Viscount Northland",,True,repair_residual_gap,33,33,8
4925ce16086c11ebbd61ac1f6bf848b6,comparison,"Do the bands The Gordons (Duo) and Sacred Rite (Band), originate from the same country?",yes,yes,1.0,1.0,True,complete,5,0.0,2,0.0,0.0,False,False,False,,American | Sacred Rite (band) | The Gordons (duo) | United States | yes,False,not_attempted,0,0,0
3e5580c00bb011ebab90acde48001122,inference,Who is Antoine-Charles Taschereau's paternal grandfather?,Thomas-Jacques Taschereau,Thomas-Jacques Taschereau,1.0,1.0,True,complete,3,1.0,2,1.0,0.0,True,False,True,Antoine-Charles Taschereau | Gabriel-Elzéar Taschereau | Thomas-Jacques Taschereau,,False,not_attempted,0,0,0
f66aecd208bc11ebbd89ac1f6bf848b6,bridge_comparison,Do both films Masters Of The Sea (Film) and The Auction Mart have the directors from the same country?,yes,no,0.0,0.0,False,missing_entities,8,0.625,5,0.4,0.0,False,False,False,Alexander Korda | Duncan McRae | Hungary | Masters of the Sea (film) | The Auction Mart,British | Duncan McRae (actor) | yes,True,repair_residual_gap,41,41,7
6a667eb40bdb11eba7f7acde48001122,compositional,"Who is the spouse of the composer of film Kalle Stropp, Grodan Boll Och Deras Vänner?",Eva Funck,Eva Funck,1.0,1.0,True,complete,3,1.0,2,0.5,0.0,False,False,False,"Eva Funck | Kalle Stropp, Grodan Boll och deras vänner | Thomas Funck",,False,not_attempted,0,0,0
c8edf21008d811ebbd9cac1f6bf848b6,bridge_comparison,Do both directors of films The Curse Of Iku and Cops And Robbers (1973 Film) have the same nationality?,yes,yes,1.0,1.0,False,missing_entities,6,0.5,4,0.25,0.0,False,False,False,Aram Avakian | Frank Borzage | The Curse of Iku,American | Cops and Robbers (1973 film) | yes,True,repair_residual_gap,51,51,4
