qid,question,gold,current,current_rule,current_em,current_f1,best_answer,best_source,best_field,best_em,best_f1,classification,exact_candidate_sources
5a85fa815542996432c57155,Where was the movement that August Brancart published literature from centerd?,Western Europe,Belgian,current_v4,0,0.0000,Belgian,hotpot1000_comagraag_body_selector_v4,answer,0,0.0000,no_candidate_overlap,
5a89e4585542992e4fca8454,"George Reed was, along with which Drake University player, one of the greatest running backs in CFL history?",Johnny D. Bright,Mike Pringle and Johnny Bright,current_v4,0,0.5000,Mike Pringle and Johnny Bright,hotpot1000_comagraag_body_selector_v4,answer,0,0.5000,partial_candidate_no_improvement,
5a7148d25542994082a3e766,"Which of these artists is older, Warrel Dane or Roy Khan?",Warrel Dane,Warrel Dane,current_v4,1,1.0000,Warrel Dane,hotpot1000_comagraag_body_selector_v4,answer,1,1.0000,current_exact,hotpot1000_comagraag_body_selector_v4:answer=Warrel Dane | hotpot1000_comagraag_body_selector_v4:prediction=Warrel Dane | hotpot1000_comagraag_body_selector_v4:current_answer=Warrel Dane | hotpot1000_comagraag_evidence_aug_deterministic_candidates:answer=Warrel Dane | hotpot1000_comagraag_evidence_aug_deterministic_candidates:prediction=Warrel Dane
5ab29c24554299449642c932,Are Giuseppe Verdi and Ambroise Thomas both Opera composers ?,yes,yes,current_v4,1,1.0000,yes,hotpot1000_comagraag_body_selector_v4,answer,1,1.0000,current_exact,hotpot1000_comagraag_body_selector_v4:answer=yes | hotpot1000_comagraag_body_selector_v4:prediction=yes | hotpot1000_comagraag_body_selector_v4:current_answer=yes | hotpot1000_comagraag_evidence_aug_deterministic_candidates:answer=yes | hotpot1000_comagraag_evidence_aug_deterministic_candidates:prediction=yes
5a7cdcbf55429907fabef04f,"Which film came out first, Still Kicking: Six Artistic Women of Project Arts & Longevity or Time Bombs?",Still Kicking: Six Artistic Women of Project Arts & Longevity,Still Kicking: Six Artistic Women of Project Arts & Longevity,current_v4,1,1.0000,Still Kicking: Six Artistic Women of Project Arts & Longevity,hotpot1000_comagraag_body_selector_v4,answer,1,1.0000,current_exact,hotpot1000_comagraag_body_selector_v4:answer=Still Kicking: Six Artistic Women of Project Arts & Longevity | hotpot1000_comagraag_body_selector_v4:prediction=Still Kicking: Six Artistic Women of Project Arts & Longevity | hotpot1000_comagraag_body_selector_v4:current_answer=Still Kicking: Six Artistic Women of Project Arts & Longevity | hotpot1000_comagraag_evidence_aug_deterministic_candidates:answer=Still Kicking: Six Artistic Women of Project Arts & Longevity | hotpot1000_comagraag_evidence_aug_deterministic_candidates:prediction=Still Kicking: Six Artistic Women of Project Arts & Longevity
5a863114554299211dda2aa5,What man won an Academy Award for his work on a drama based on the life of Rocky Graziano?,Francis Keogh Gleason,Joseph Ruttenberg,current_v4,0,0.0000,Joseph Ruttenberg,hotpot1000_comagraag_body_selector_v4,answer,0,0.0000,no_candidate_overlap,
5adec53655429975fa854f87,Are Kim Dong-jun and Charlie Harper both singers?,yes,yes,current_v4,1,1.0000,yes,hotpot1000_comagraag_body_selector_v4,answer,1,1.0000,current_exact,hotpot1000_comagraag_body_selector_v4:answer=yes | hotpot1000_comagraag_body_selector_v4:prediction=yes | hotpot1000_comagraag_body_selector_v4:current_answer=yes | hotpot1000_comagraag_evidence_aug_deterministic_candidates:answer=yes | hotpot1000_comagraag_evidence_aug_deterministic_candidates:prediction=yes
5a72ac8a5542992359bc3164,Which body of water required more intensive man made barriers the Dundee Canal or Lake Worth Lagoon?,The Dundee Canal,Lake Worth Lagoon,current_v4,0,0.0000,Dundee Canal,hotpot1000_comagraag_type_aware_candidate_reader_pilot20,reader_generated_candidates,1,1.0000,selector_miss_exact_candidate,hotpot1000_comagraag_type_aware_candidate_reader_pilot20:reader_generated_candidates=Dundee Canal
5ab7de455542992aa3b8c864,Janet Williams has performed with an internationally recognized solo pianist whose recordings have earned him five what?,Grammy awards,Grammy awards,current_v4,1,1.0000,Grammy awards,hotpot1000_comagraag_body_selector_v4,answer,1,1.0000,current_exact,hotpot1000_comagraag_body_selector_v4:answer=Grammy awards | hotpot1000_comagraag_body_selector_v4:prediction=Grammy awards | hotpot1000_comagraag_body_selector_v4:current_answer=Grammy awards | hotpot1000_comagraag_evidence_aug_deterministic_candidates:answer=Grammy awards | hotpot1000_comagraag_evidence_aug_deterministic_candidates:prediction=Grammy awards
5a84d80c5542992a431d1ab5,"Which building is used for more different uses, MiMA or 270 Park Avenue?",MiMA,270 Park Avenue,current_v4,0,0.0000,MiMA,hotpot1000_comagraag_evidence_aug_deterministic_candidates,deterministic_candidates,1,1.0000,selector_miss_exact_candidate,hotpot1000_comagraag_evidence_aug_deterministic_candidates:deterministic_candidates=MiMA | hotpot1000_comagraag_type_aware_candidate_reader_pilot20:reader_generated_candidates=MiMA | hotpot1000_comagraag_type_aware_candidate_reader_pilot20:deterministic_candidates=MiMA | hotpot1000_comagraag_two_stage_clean_pilot50:deterministic_candidates=MiMA
5a85a2845542997175ce1fe1,Are both Aloinopsis and Eriogonum ice plants?,no,no,current_v4,1,1.0000,no,hotpot1000_comagraag_body_selector_v4,answer,1,1.0000,current_exact,hotpot1000_comagraag_body_selector_v4:answer=no | hotpot1000_comagraag_body_selector_v4:prediction=no | hotpot1000_comagraag_body_selector_v4:current_answer=no | hotpot1000_comagraag_evidence_aug_deterministic_candidates:answer=no | hotpot1000_comagraag_evidence_aug_deterministic_candidates:prediction=no
5adcfbf45542990d50227d86,Into Dust is a song by the alternative rock band formed in which city?,"Santa Monica, California",Yokohama,current_v4,0,0.0000,Yokohama,hotpot1000_comagraag_body_selector_v4,answer,0,0.0000,no_candidate_overlap,
5a7d2afd5542995f4f402221,"Who is older, Ferdi Taygan or Mahesh Bhupathi?",Ferdi Taygan,Ferdi Taygan,current_v4,1,1.0000,Ferdi Taygan,hotpot1000_comagraag_body_selector_v4,answer,1,1.0000,current_exact,hotpot1000_comagraag_body_selector_v4:answer=Ferdi Taygan | hotpot1000_comagraag_body_selector_v4:prediction=Ferdi Taygan | hotpot1000_comagraag_body_selector_v4:current_answer=Ferdi Taygan | hotpot1000_comagraag_evidence_aug_deterministic_candidates:answer=Ferdi Taygan | hotpot1000_comagraag_evidence_aug_deterministic_candidates:prediction=Ferdi Taygan
5a7d1e685542995ed0d165f7,How many women in total competed at the Asian Games the year Lee Young-Sun achieved her personal best throw of 58.87 metres?,179 women,Two,current_v4,0,0.0000,Two,hotpot1000_comagraag_body_selector_v4,answer,0,0.0000,no_candidate_overlap,
5ab439f055429942dd415eef,Which airport Albany International Airport and Dane County Regional Airport is nearer its local town ?,Dane County Regional Airport,Dane County Regional Airport,current_v4,1,1.0000,Dane County Regional Airport,hotpot1000_comagraag_body_selector_v4,answer,1,1.0000,current_exact,hotpot1000_comagraag_body_selector_v4:answer=Dane County Regional Airport | hotpot1000_comagraag_body_selector_v4:prediction=Dane County Regional Airport | hotpot1000_comagraag_body_selector_v4:current_answer=Dane County Regional Airport | hotpot1000_comagraag_evidence_aug_deterministic_candidates:answer=Dane County Regional Airport | hotpot1000_comagraag_evidence_aug_deterministic_candidates:prediction=Dane County Regional Airport
5a8d4cf35542994ba4e3dc5f,"What are the letters of the radio station serves the area comprising all of Belknap County, among others?",WANH,WMTK,current_v4,0,0.0000,WMTK,hotpot1000_comagraag_body_selector_v4,answer,0,0.0000,no_candidate_overlap,
5add016e5542992c1e3a250b,What made the man who abolished the Consell in 1718 resume the throne?,upon his son's death,"The man who abolished the Consell in 1718 was Philip V of Spain. He resumed the throne in 1724 after abdicating in favor of his son Louis I, who died of smallpox after seven months. Philip V returned to power due to Louis I’s death.  
Answer: Louis I’s death",current_v4,0,0.0800,Louis I’s death,hotpot1000_comagraag_two_stage_clean_pilot50,reader_answer,0,0.2857,partial_candidate_improves_f1,
5ac4efa85542991943173a04,"Which body of water flows through more states, Tamiami Canal or Genesee River?",Genesee River,Genesee River,current_v4,1,1.0000,Genesee River,hotpot1000_comagraag_body_selector_v4,answer,1,1.0000,current_exact,hotpot1000_comagraag_body_selector_v4:answer=Genesee River | hotpot1000_comagraag_body_selector_v4:prediction=Genesee River | hotpot1000_comagraag_body_selector_v4:current_answer=Genesee River | hotpot1000_comagraag_evidence_aug_deterministic_candidates:answer=Genesee River | hotpot1000_comagraag_evidence_aug_deterministic_candidates:prediction=Genesee River
5ab474135542991751b4d77b,"At the 46th Grammy Awards, which award did the album by The White Stripes, which included the song Seven Nation Army, win?",Best Alternative Music Album,Best Alternative Music Album,current_v4,1,1.0000,Best Alternative Music Album,hotpot1000_comagraag_body_selector_v4,answer,1,1.0000,current_exact,hotpot1000_comagraag_body_selector_v4:answer=Best Alternative Music Album | hotpot1000_comagraag_body_selector_v4:prediction=Best Alternative Music Album | hotpot1000_comagraag_body_selector_v4:current_answer=Best Alternative Music Album | hotpot1000_comagraag_evidence_aug_deterministic_candidates:answer=Best Alternative Music Album | hotpot1000_comagraag_evidence_aug_deterministic_candidates:prediction=Best Alternative Music Album
5a83880e554299123d8c214e,Suicide's 1977 released album features a song based on what brand's comic character?,Marvel,Garfield,current_v4,0,0.0000,Garfield,hotpot1000_comagraag_body_selector_v4,answer,0,0.0000,no_candidate_overlap,
5a7458ff55429979e2882918,"That Darn Cat and Honey, I Blew Up the Kid are both what?",comedy,Disney films,current_v4,0,0.0000,Disney films,hotpot1000_comagraag_body_selector_v4,answer,0,0.0000,no_candidate_overlap,
5ab8494d55429916710eb016,"Which was founded first, University of California, Santa Barbara or Hamdard University?","University of California, Santa Barbara","University of California, Santa Barbara",current_v4,1,1.0000,"University of California, Santa Barbara",hotpot1000_comagraag_body_selector_v4,answer,1,1.0000,current_exact,"hotpot1000_comagraag_body_selector_v4:answer=University of California, Santa Barbara | hotpot1000_comagraag_body_selector_v4:prediction=University of California, Santa Barbara | hotpot1000_comagraag_body_selector_v4:current_answer=University of California, Santa Barbara | hotpot1000_comagraag_evidence_aug_deterministic_candidates:answer=University of California, Santa Barbara | hotpot1000_comagraag_evidence_aug_deterministic_candidates:prediction=University of California, Santa Barbara"
5adfff0755429925eb1afbce,What is 25 miles south of Groom Lake?,"Rachel, Nevada","Rachel, Nevada",current_v4,1,1.0000,"Rachel, Nevada",hotpot1000_comagraag_body_selector_v4,answer,1,1.0000,current_exact,"hotpot1000_comagraag_body_selector_v4:answer=Rachel, Nevada | hotpot1000_comagraag_body_selector_v4:prediction=Rachel, Nevada | hotpot1000_comagraag_body_selector_v4:current_answer=Rachel, Nevada | hotpot1000_comagraag_evidence_aug_deterministic_candidates:answer=Rachel, Nevada | hotpot1000_comagraag_evidence_aug_deterministic_candidates:prediction=Rachel, Nevada"
5a7283355542991f9a20c4b1,Who is the grandfather to Frederick II and was the Holy Roman Emperor until death?,Frederick I,Frederick Barbarossa,current_v4,0,0.5000,Frederick Barbarossa,hotpot1000_comagraag_body_selector_v4,answer,0,0.5000,partial_candidate_no_improvement,
5a8fa2955542992414482b11,"Which film was directed by Wayne Coles-Janess, Tender Fictions or Bougainville – Our Island Our Fight?",Bougainville,Bougainville – Our Island Our Fight,current_v4,0,0.2857,Bougainville – Our Island Our Fight,hotpot1000_comagraag_body_selector_v4,answer,0,0.2857,partial_candidate_no_improvement,
5a888abc5542997e5c09a604,"Which was released first, Kolejka or Ghettopoly?",Ghettopoly,Kolejka,current_v4,0,0.0000,Ghettopoly,hotpot1000_comagraag_evidence_aug_deterministic_candidates,deterministic_candidates,1,1.0000,selector_miss_exact_candidate,hotpot1000_comagraag_evidence_aug_deterministic_candidates:deterministic_candidates=Ghettopoly | hotpot1000_comagraag_type_aware_candidate_reader_pilot20:deterministic_candidates=Ghettopoly | hotpot1000_comagraag_two_stage_clean_pilot50:deterministic_candidates=Ghettopoly
5ae0d7bf5542990adbacf67b,"Which Walt Disney film was released earlier, The Rescuers or The Muppets?",The Muppets,The Rescuers,current_v4,0,0.0000,The Muppets,hotpot1000_comagraag_evidence_aug_deterministic_candidates,deterministic_candidates,1,1.0000,selector_miss_exact_candidate,hotpot1000_comagraag_evidence_aug_deterministic_candidates:deterministic_candidates=The Muppets | hotpot1000_comagraag_two_stage_clean_pilot50:deterministic_candidates=The Muppets
5ae446fc5542995ad6573d24,What Mexican singer released the song Todos Me Miran?,Gloria Trevi,Gloria Trevi,current_v4,1,1.0000,Gloria Trevi,hotpot1000_comagraag_body_selector_v4,answer,1,1.0000,current_exact,hotpot1000_comagraag_body_selector_v4:answer=Gloria Trevi | hotpot1000_comagraag_body_selector_v4:prediction=Gloria Trevi | hotpot1000_comagraag_body_selector_v4:current_answer=Gloria Trevi | hotpot1000_comagraag_evidence_aug_deterministic_candidates:answer=Gloria Trevi | hotpot1000_comagraag_evidence_aug_deterministic_candidates:prediction=Gloria Trevi
5ac4e593554299076e296e37,"OU812 was the second album to feature a vocalist that also played what instrument in ""Finish What Ya Started""?",rhythm guitar,rhythm guitar,current_v4,1,1.0000,rhythm guitar,hotpot1000_comagraag_body_selector_v4,answer,1,1.0000,current_exact,hotpot1000_comagraag_body_selector_v4:answer=rhythm guitar | hotpot1000_comagraag_body_selector_v4:prediction=rhythm guitar | hotpot1000_comagraag_body_selector_v4:current_answer=rhythm guitar | hotpot1000_comagraag_evidence_aug_deterministic_candidates:answer=rhythm guitar | hotpot1000_comagraag_evidence_aug_deterministic_candidates:prediction=rhythm guitar
5a72af155542992359bc316c,"What movie included Robin Williams along with Joshua Aaron Charles, set in 1959 at a Vermont boarding school?",Dead Poets Society,Dead Poets Society,current_v4,1,1.0000,Dead Poets Society,hotpot1000_comagraag_body_selector_v4,answer,1,1.0000,current_exact,hotpot1000_comagraag_body_selector_v4:answer=Dead Poets Society | hotpot1000_comagraag_body_selector_v4:prediction=Dead Poets Society | hotpot1000_comagraag_body_selector_v4:current_answer=Dead Poets Society | hotpot1000_comagraag_evidence_aug_deterministic_candidates:answer=Dead Poets Society | hotpot1000_comagraag_evidence_aug_deterministic_candidates:prediction=Dead Poets Society
5ac23f5655429951e9e684d9,Both the Pulandian District and Hailar District are located within which country?,China,China,current_v4,1,1.0000,China,hotpot1000_comagraag_body_selector_v4,answer,1,1.0000,current_exact,hotpot1000_comagraag_body_selector_v4:answer=China | hotpot1000_comagraag_body_selector_v4:prediction=China | hotpot1000_comagraag_body_selector_v4:current_answer=China | hotpot1000_comagraag_evidence_aug_deterministic_candidates:answer=China | hotpot1000_comagraag_evidence_aug_deterministic_candidates:prediction=China
5ab5d4eb5542992aa134a3aa,"how many films has the director of ""Girl 6"" produced since 1983?",over 35 films,0,current_v4,0,0.0000,0,hotpot1000_comagraag_body_selector_v4,answer,0,0.0000,no_candidate_overlap,
5a75f0bf5542994ccc91866b,"Who is younger, Pelle Almqvist or Steve Winwood?",Pelle Almqvist,Pelle Almqvist,current_v4,1,1.0000,Pelle Almqvist,hotpot1000_comagraag_body_selector_v4,answer,1,1.0000,current_exact,hotpot1000_comagraag_body_selector_v4:answer=Pelle Almqvist | hotpot1000_comagraag_body_selector_v4:prediction=Pelle Almqvist | hotpot1000_comagraag_body_selector_v4:current_answer=Pelle Almqvist | hotpot1000_comagraag_evidence_aug_deterministic_candidates:answer=Pelle Almqvist | hotpot1000_comagraag_evidence_aug_deterministic_candidates:prediction=Pelle Almqvist
5a7129685542994082a3e5fa,"Which ""Blackzilians"" fighter is currently competing in the Middleweight division of Ultimate Fighting Championship?",Vitor Belfort,none,current_v4,0,0.0000,,,,0,0.0000,no_candidate_overlap,
5a7220f055429971e9dc92ac,What was the Volvo S70 essentially modeled after and was the first all wheel drive Volvo?,Volvo 850,Volvo 850,current_v4,1,1.0000,Volvo 850,hotpot1000_comagraag_body_selector_v4,answer,1,1.0000,current_exact,hotpot1000_comagraag_body_selector_v4:answer=Volvo 850 | hotpot1000_comagraag_body_selector_v4:prediction=Volvo 850 | hotpot1000_comagraag_body_selector_v4:current_answer=Volvo 850 | hotpot1000_comagraag_evidence_aug_deterministic_candidates:answer=Volvo 850 | hotpot1000_comagraag_evidence_aug_deterministic_candidates:prediction=Volvo 850
5a8787915542996e4f30882e,"Which film was produced first, Dangal or The Man from Snowy River II?",The Man from Snowy River II,The Man from Snowy River II,current_v4,1,1.0000,The Man from Snowy River II,hotpot1000_comagraag_body_selector_v4,answer,1,1.0000,current_exact,hotpot1000_comagraag_body_selector_v4:answer=The Man from Snowy River II | hotpot1000_comagraag_body_selector_v4:prediction=The Man from Snowy River II | hotpot1000_comagraag_body_selector_v4:current_answer=The Man from Snowy River II | hotpot1000_comagraag_evidence_aug_deterministic_candidates:answer=The Man from Snowy River II | hotpot1000_comagraag_evidence_aug_deterministic_candidates:prediction=The Man from Snowy River II
5a80c79155429938b61421da,"How many seasons has a popular tv show had, in which one of the episodes is called Moho House?",28,12,current_v4,0,0.0000,12,hotpot1000_comagraag_body_selector_v4,answer,0,0.0000,no_candidate_overlap,
5a7b63eb55429931da12ca7e,What city does Paul Clyne and David Soares have in common?,New York,Albany,current_v4,0,0.0000,Albany,hotpot1000_comagraag_body_selector_v4,answer,0,0.0000,no_candidate_overlap,
