qid,question,current,gold,current_em,top_answer,top_score,top_count,top_sources_n,current_score,margin,oracle_top_em,any_alt_exact,num_alts
5a835e215542992ef85e2296,"Between Pine and Butea, which genus has the greatest number of species?",Pine,"""Pinus""",0,Butea,56.900000000000006,27,13,81.84000000000002,-24.940000000000012,0,0,1
5ae0fe4e554299422ee995a9,What type of diet does the author of Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss advocate?,"Nutrient-dense, plant-based, low-fat diet",micronutrient-rich,0,nutrient-rich,53.70000000000003,35,13,78.59000000000005,-24.890000000000015,0,0,2
5a72a3c45542994cef4bc3ac,"What is the birth name of the woman that ""A Woman Called Moses"" is based on?",Harriet Ross,Araminta Ross,0,Harriet Tubman,53.50000000000001,40,14,100.10000000000002,-46.600000000000016,0,0,1
5a7c6ed3554299683c1c6306,What region has the indigenous language that includes the word Catuaba?,Costa Rica,South America,0,South America,50.21,23,13,98.56000000000004,-48.350000000000044,1,1,1
5a7a83b3554299042af8f652,"WHAT WAS THE NAME OF THE BOOK MADE INTO THE 2015 SOUTH KOREAN CRIME THRILLER, THE DEAL, DIRECTED BY SON YONG-HO AND FEATURING SOUTH KOREAN ACTOR PARK SUNG-WOONG (BORN JANUARY 9, 1973) AS A SERIAL KILLER?",The Deal,"""Murder Request""",0,"No book is mentioned as the source for ""The Deal"" (2015 film)",49.6,35,14,68.06000000000002,-18.460000000000015,0,0,1
5ac3a2f35542993915413856,What three other National forests are administered by the same people who administer the park in which the Art Loeb trail runs through?,"Pisgah, Nantahala, Uwharrie","Croatan, Nantahala, and Uwharrie",0,"Kaniksu, Coeur d’Alene, St. Joe",46.32000000000002,28,14,78.59000000000005,-32.270000000000024,0,0,2
5a796c805542990784727805,The brother of Ferdinand Alfred Friedrich Jodl served as what position in World War II?,Chief of the Operations Staff of the OKW,Chief of the Operations Staff of the Armed Forces High Command,0,Chief of the Operations Staff of the Armed Forces High Command,45.26000000000001,31,14,107.22000000000004,-61.96000000000003,1,1,1
5ac3bab155429939154138fb,"The House of Hanover held the British throne until after Victoria's death, when it was past to the dynasty that ruled which duchy?",Saxe-Coburg and Gotha,Ernestine,0,Duchy of Brunswick and Lüneburg,45.040000000000006,28,13,89.66000000000004,-44.62000000000003,0,0,3
5a8bc29a5542995d1e6f1446,when was Quiet in Heaven/Song of Liberty recorded?,1982,Before settling on their current name in 1982,0,1983,44.66000000000001,28,13,85.74000000000004,-41.08000000000003,0,0,1
5ab6238e554299710c8d1e6d,When Copsi was made earl of Northumbria he went back to reside in a town at the confluence of which two rivers?,Tees and Wear,Ouse and Foss,0,Tyne and Ouse,42.42,27,12,84.26000000000005,-41.840000000000046,0,0,4
5a893fc855429951533612f0,Are the Chien Français Blanc et Orange and Cretan Hound both used for hunting in packs?,yes,no,0,no,41.220000000000006,40,10,115.88000000000001,-74.66,1,1,2
5add016e5542992c1e3a250b,What made the man who abolished the Consell in 1718 resume the throne?,"The man who abolished the Consell in 1718 was Philip V of Spain. He resumed the throne in 1724 after abdicating in favor of his son Louis I, who died of smallpox after seven months. Philip V returned to power due to Louis I’s death.  
Answer: Louis I’s death",upon his son's death,0,Louis I's death,41.099999999999994,13,7,8,33.099999999999994,0,0,6
5a874e9b554299211dda2bd3,What did the second First Lady to be born outside the United States or areas that would become part of the United States do before marrying?,Worked as a governess,fashion model,0,worked as a model,38.76000000000001,23,13,87.78000000000004,-49.02000000000003,0,0,1
5a77857155429949eeb29ebf,What 2-year worldwide tour had a round stage and a band that performed a song never before performed live?,Rock & Roll Over Tour,U2 360° Tour,0,1978 Bob Dylan tour,38.720000000000006,37,10,81.12000000000003,-42.40000000000003,0,0,2
5a8a2e465542996c9b8d5e32,In what county did Michael Ola attend high school?,Broward County,"Clayton County, Georgia, United States",0,Georgia,38.02,36,10,84.26000000000005,-46.240000000000045,0,0,2
5ae497595542995ad6573db7,What are both Stauntonia and Pimelea?,Both are genera of flowering plants.,plant,0,genus of flowering plant and small shrub,38.02,36,10,84.26000000000005,-46.240000000000045,0,0,2
5ae083b75542993d6555eb85,"Who was an actor actor in the film The Ladder of Lies and was born October 23, 1893?",William Farnum,Jean Acker,0,No one,38.02,36,10,104.64000000000003,-66.62000000000003,0,0,1
5abaad5855429901930fa88f,How many more singles titles did Kim Warwick win than Jorge Lozano?,three,three singles titles,0,1,37.18000000000001,21,13,66.36000000000001,-29.180000000000007,0,0,3
5a7183575542994082a3e85e,"Who was the architect of a Dutch museum dedicated to the arts and history in Amsterdam, located at the Museum Square?",Pierre Cuypers,Petrus Josephus Hubertus (Pierre) Cuypers,0,C. H. Petersen,37.18000000000001,21,13,81.12000000000003,-43.940000000000026,0,0,2
5a7616755542992d0ec06028,"Where is the county seat for people living in Henderson Point, Mississippi?",Gulfport,"Gulfport, Biloxi",0,Biloxi,37.18000000000001,21,13,85.74000000000004,-48.56000000000003,0,0,1
5a8f1adc554299458435d577, John DiMaggio voices the character Shnitzel on Cartoon Network series created by who?,Pendleton Ward,C. H. Greenblatt,0,C. H. Greenblatt,37.18000000000001,21,13,85.74000000000004,-48.56000000000003,1,1,2
5ab42b24554299753aec5a43,Operation light house was an experiment by Wernher von Braun and another man born in what year?,1914,1895,0,1912,37.18000000000001,21,13,85.74000000000004,-48.56000000000003,0,0,2
5ae236b2554299495565da3e,When was the American economist to which Joseph A. Loftus worked as a communications assistant born? ,1943,"December 13, 1920",0,1930,37.18000000000001,21,13,85.74000000000004,-48.56000000000003,0,0,2
5ae0c29c5542993d6555ec46,What was the profession of the one who wrote a song on a 2005 album he collaborated on with Marc Predka?,hip hop artist,"professional wrestler, actor, and hip hop musician",0,Musician,37.18000000000001,21,13,89.94000000000004,-52.76000000000003,0,0,4
5ae074aa5542993d6555eb54,Are Ash Lieb and Elswyth Thane both artists?,yes,no,0,no,36.120000000000005,34,10,111.34000000000002,-75.22000000000001,1,1,1
5abd455c55429924427fcf5a,What does Age of Chance and Vector share in common? ,Both are post-punk bands.,was a rock band,0,nothing,35.86000000000001,35,9,115.64000000000003,-79.78000000000003,0,0,1
5a8e3ed7554299068b959e82,"Which band did this American businessman, music publisher, writers' representative, filmmaker and record label executive manage while simultaneously managing this group of the album ""More Hot Rocks?""",The Rolling Stones,the Beatles,0,Beatles,33.08,33,10,119.82000000000001,-86.74000000000001,1,1,1
5a87b6215542996e4f3088d6,Are Yoo-hoo and Faygo both carbonated drinks?,yes,no,0,no,33.08,33,10,119.82000000000001,-86.74000000000001,1,1,1
5a85ee635542994775f606b4,"Which lake is located further south, Dal Lake or Waterton Lake?",Waterton Lake,Dal Lake,0,Dal Lake,33.08,33,10,119.82000000000001,-86.74000000000001,1,1,1
5a8b3e985542995d1e6f131c,"Where is the brand ""Moe's Southwest Grill"" owned based?","Sandy Springs, Georgia","It is based in Sandy Springs, Georgia",0,"Atlanta, Georgia",33.0,34,11,119.48,-86.48,0,0,1
5ae3790f5542992e3233c415,Are Leopold Lummerstorfer and Valeria Sarmiento both authors?,yes,no,0,no,33.0,34,11,119.48,-86.48,1,1,1
5ab6ba9d5542995eadef0083,What is the first name of the mother of the artist who interpreted Karla  Bonoff's Tell Me Why ?,Linda,Naomi,0,Wynonna,32.3,31,10,117.40000000000002,-85.10000000000002,0,0,1
5a74bdce55429929fddd84e1,Who died last Vladimir Arnold or Georg Cantor?,Vladimir Arnold,Vladimir Igorevich Arnold,0,Georg Cantor,30.58,30,10,124.01999999999997,-93.43999999999997,0,0,2
5ab29b07554299194fa93440,Which city in the Baltimore metropolitan area includes a lake and surrounding park?,Columbia,"Columbia, Maryland",0,Baltimore County,30.52,14,9,84.26000000000005,-53.74000000000005,0,0,4
5a7c0aa15542997c3ec972cd,"The star of ""Under the Silver Lake"" made his debut in what film?",The Motel Life,Lions for Lambs,0,Endless Love,29.879999999999995,29,10,87.78000000000004,-57.90000000000005,0,0,1
5ae39f405542991a06ce9a02,"""Knock"" is an example of fiction by Frederic Brown that has how many words?",212,1000 words,0,123,29.879999999999995,29,10,87.78000000000004,-57.90000000000005,0,0,1
5a7f38e255429930675136b6,"The Ronkonkama railroad station and the town of Islip, New York are near?",Long Island Sound,Long Island,0,no,29.879999999999995,29,10,90.20000000000005,-60.32000000000005,0,0,1
5ae457a95542996836b02c85,Who directed and wrote the 2016 film featuring the voice of Townsend Coleman?,Peter Ramsey and Chris McKay,Garth Jennings,0,Zack Snyder; Chris Terrio and David S. Goyer,29.879999999999995,29,10,90.98000000000005,-61.10000000000005,0,0,3
5ab42e55554299753aec5a53,San Marco and Medina are both what type of game?,board game,board,0,No,29.879999999999995,29,10,94.82000000000005,-64.94000000000005,0,0,1
5a76c98855429972597f13d0,Near what ocean does the highway carried by the Long-Allen bridge terminate near?,Gulf of Mexico,the Atlantic Ocean,0,Atlantic Ocean,29.879999999999995,29,10,108.16000000000003,-78.28000000000003,1,1,1
5a8682755542996432c571cf,What is the official English name of the country in which Ain Timguenai is located?,Algeria,the Kingdom of Morocco,0,Central African Republic,29.879999999999995,29,10,108.16000000000003,-78.28000000000003,0,0,1
5a71278c5542994082a3e5e2,What North Carolina native did Danja produce songs for?,Keri Hilson,J. Cole,0,no,29.879999999999995,29,10,115.20000000000003,-85.32000000000004,0,0,1
5a87ab905542996e4f3088c1,The arena where the Lewiston Maineiacs played their home games can seat how many people?,"5,000","3,677 seated",0,Androscoggin Bank Colisée,29.879999999999995,29,10,115.20000000000003,-85.32000000000004,0,0,1
5a7ce444554299683c1c63c1,Who played the crime boss considered the father of modern organized crime in the 1997 drama Hoodlum?,Laurence Fishburne,Andy García,0,"No one played Lucky Luciano in the 1997 drama ""Hoodlum""",29.879999999999995,29,10,119.82000000000001,-89.94000000000001,0,0,1
5a8a573355429970aeb7029a,"The ""unofficial national anthem"" of Australia is the basis for the nickname of what soccer team?",Australia men's national soccer team,Australian women's national soccer team,0,Green Bay Phoenix men's soccer,29.879999999999995,29,10,119.82000000000001,-89.94000000000001,0,0,1
5a8072a5554299485f5985f1,What separates the islands where the 2015 Africa Magic Viewers Choice Awards were held?,Lagos Lagoon,creeks,0,Victoria Island,29.879999999999995,29,10,119.82000000000001,-89.94000000000001,0,0,1
5a85b2895542994c784ddb49,Bank street is sandwiched between the headquarters of the Hongkong and Shanghai Banking Corporation and which other building?,Standard Chartered Bank Building,Bank of China Building,0,HSBC Building (Hong Kong),29.879999999999995,29,10,119.82000000000001,-89.94000000000001,0,0,1
5a7a2dac5542990198eaf0b6,"Who is younger, Keisuke Kuwata or Moya Brennan?",Moya Brennan,Keisuke Kuwata,0,Keisuke Kuwata,29.879999999999995,29,10,119.82000000000001,-89.94000000000001,1,1,1
5ab29956554299194fa9342d,The 1989 Batman film was produced by Jon Peters and a man that is the CEO of what company?,Warner Bros.,Mandalay Entertainment,0,Sony Pictures Entertainment,29.879999999999995,29,10,119.82000000000001,-89.94000000000001,0,0,1
5a7e21165542995ed0d166a2,"Who is younger, Billy Idol or Ray Wilson?",Ray Wilson,Raymond Wilson,0,Billy Idol,29.879999999999995,29,10,119.82000000000001,-89.94000000000001,0,0,2
5ac1a4745542991316484b82,"Para Hills West, South Australia lies within a city with what estimated population?","1,770,000","138,535",0,"44,300",29.879999999999995,29,10,119.82000000000001,-89.94000000000001,0,0,1
5a72a5a75542992359bc314e,Who is the British explorer and holder of several endurance records who partnered with Mike Stroud on polar expiditions?,Ranulph Fiennes,Sir Ranulph Twisleton-Wykeham-Fiennes,0,Roy Koerner,29.879999999999995,29,10,119.82000000000001,-89.94000000000001,0,0,1
5a7542425542996c70cfaecc,"Who was born first, Karen Joy Fowler or Bruce Chatwin?",Karen Joy Fowler,Bruce Chatwin,0,Bruce Chatwin,27.989999999999995,15,13,121.48000000000002,-93.49000000000002,1,1,1
5a84b2995542994c784dda11,What movies has Juno Temple starred in?,"Small Apartments, Cracks, Jack & Diane, Lovelace, Wonder Wheel, Magic Magic, Afternoon Delight, Dirty Girl, Killer Joe","She has appeared in films such as "" Black Mass"", ""The Other Boleyn Girl"", ""Wild Child"", ""Atonement"", ""Maleficent"", ""The Three Musketeers"" and ""The Dark Knight Rises"".",0,"Small Apartments, Cracks, Jack & Diane, The Way, Way Back, Lovelace, Wonder Wheel",27.979999999999997,27,10,85.74000000000004,-57.76000000000004,0,0,2
5ae153915542990adbacf752,In between Burton C. Bell and Billy Idol who is known professionally as Billy Idol?,Billy Idol,William Michael Albert Broad,0,William Michael Albert Broad,27.979999999999997,27,10,125.61999999999998,-97.63999999999999,1,1,1
5ab8903555429916710eb08e,What city is the flying component of the United States Air Force 432d Wing stationed in,Indian Springs,Clark County,0,"Creech Air Force Base, Nevada",27.799999999999997,29,11,121.48,-93.68,0,0,1
5ab56f7a554299637185c59a,"Not Richard, But Dick was an album by the band formed in what city?","Oakland, California",Philadelphia,0,Beverly,26.839999999999996,13,11,118.88000000000002,-92.04000000000002,0,0,2
5ac2ea1a5542990b17b154a1,What episode of South Park was the episode that aired in May before Funnybot?,Chickenlover,146th,0,Tsst,26.839999999999996,13,11,118.88000000000002,-92.04000000000002,0,0,2
5ae3639b5542991a06ce99b2,"Edward Marszewski is the editor-in-chief of Lumpen, who is the editor-in-chief of Saveur?",James Oseland,Colman Andrews,0,Colman Robert Hardy Andrews,26.839999999999996,13,11,118.88000000000002,-92.04000000000002,0,0,2
5a7df7115542990b8f503b0f,Who was born first out of Todd Field and Aaron Katz?,Todd Field,William Todd Field,0,Aaron Katz,26.7,11,8,122.30000000000003,-95.60000000000002,0,0,1
5a7607b6554299109176e619,What is the name of the man who was partners with the electrical engineer that was awarded the Nobel Prize in Physics in December 2000?,Jack Kilby,Robert Noyce,0,Zhores I. Alferov,25.47999999999999,24,10,119.82000000000001,-94.34000000000002,0,1,3
5add60905542995b365fab1d,What do Victor Salva and Emilio Fernández have in common?,Both are film directors.,director and screenwriter.,0,nothing,24.200000000000003,25,9,105.50000000000003,-81.30000000000003,0,0,2
5ab465095542991751b4d75a,During which period the sedan variant of the Volvo V50 car was manufactured?,2004–2012,1995 to 2012,0,The sedan variant of the Volvo V50 is the Volvo S40.,22.92,9,6,96.48000000000002,-73.56000000000002,0,0,2
5a8b128455429971feec463b,What city is the women's Vans Triple Crown of Surfing event hosted at?,Haleiwa,City and County of Honolulu,0,"Haleiwa Ali'i Beach Park, Sunset Beach, and Honolua Bay, Maui",22.779999999999994,22,10,121.48,-98.70000000000002,0,0,2
5ac009bf5542997d642959a7,"The University in Pullman, Washington is named after whom?",the state of Washington,Edward R. Murrow,0,Washington State University is named after the state of Washington,22.779999999999994,22,10,121.48,-98.70000000000002,0,0,2
5ae1091055429920d523429b,The seventh largest inhabited island in Hawaii has what remote wild beach?,Polihale Beach,Polihale State Park,0,Polihale State Park,22.040000000000003,21,8,111.68000000000002,-89.64000000000001,1,1,1
5ab55e015542992aa134a2d3,The Hong Kong Museum of Coastal Defence is located on an island with a population of what?,7.4 million,"1,289,500",0,"{""prior"": """", ""judge_answer"": """"}",21.199999999999996,19,9,106.24000000000002,-85.04000000000002,0,0,1
5ac38ce255429939154137c2,What do a Flaming beverage and a Gin and tonic have in common?,Both are alcoholic cocktails.,cocktails,0,Nothing,21.0,21,9,99.88000000000004,-78.88000000000004,0,0,1
5a7a1d305542990783324e66,What are the professions of Tom Johnston and Daryl Palumbo?,musician and frontman; football manager,American musician,0,American musician,20.879999999999995,20,10,81.12000000000003,-60.24000000000004,1,1,2
5a86458b5542991e771815ec,What is the population of the city where the Akademisches Kunstmuseum is?,"370,000","300,000",0,not provided,20.879999999999995,20,10,119.82000000000001,-98.94000000000001,0,0,2
5a7b2144554299042af8f6f7,What town's geographic feature is the battle James Swan was twice wounded at named for?,Bunker Hill,"Charlestown, Massachusetts",0,Boston,20.879999999999995,20,10,119.82000000000001,-98.94000000000001,0,0,2
5a7dedef5542995f4f40231a,"Which English actor, comedian and singer is featured in Chalk and Cheese?",Dan Clark,Michael Patrick Smith,0,Daniel Gregory Clark,20.879999999999995,20,10,126.57999999999998,-105.69999999999999,0,0,2
5ab42f3c55429942dd415ebc,What is the translation of the name of the river on which Widnes is located ?,Mersey,boundary river,0,not provided,20.879999999999995,20,10,126.91999999999997,-106.03999999999998,0,0,1
5a734bb65542994cef4bc50f,"Fantasy Records is know for recordings of comedian Lenny Bruce, Creedence Clearwater Revival, and what American jazz pianist who composed the music for the animated television adaptations of the ""Peanuts"" comic strip?",Vince Guaraldi,Vincent Anthony Guaraldi,0,Vincent Anthony Guaraldi,20.879999999999995,20,10,132.01999999999995,-111.13999999999996,1,1,1
5ab9b4a555429970cfb8eb75,Is Rick Husband Amarillo International Airport or Grand Forks International Airport closer to the town it is near?,Rick Husband Amarillo International Airport,Grand Forks International Airport,0,Grand Forks International Airport,20.879999999999995,20,10,132.01999999999995,-111.13999999999996,1,1,1
5ac308135542990b17b154f4,"Christopher I of Denmark succeeded his brother, who was king during what period?",1252 and 1259,1241 until his death in 1250,0,1252–1259,20.38,6,5,120.78000000000002,-100.40000000000002,0,0,3
5a83431d5542993344745ff5,The company that created a keychain RFDI device created to allow electronic payment at McDonald's and 400 other Chicago area restaurants is headquartered in what city and state?,"New York, New York","San Jose, California",0,"Houston, Texas",20.38,6,5,120.78000000000002,-100.40000000000002,0,0,2
5a74fd6d5542993748c8977d,"What day of the week does the Korean cooking-variety program featuring the owner of ""Dear. bread"" air?",Friday,Mondays,0,Wednesday,18.419999999999998,20,10,119.48,-101.06,0,0,2
5abcd19c5542993a06baf971,The first edition of the Dungeons & Dragons Basic Set was written by a professor at what university?,"California State University, Fullerton",University of Southern California,0,"{""prior"": """", ""judge_answer"": """"}",17.679999999999996,16,9,92.40000000000005,-74.72000000000006,0,0,1
5adfb790554299603e418389,What do Eragrostis and Rhexia have in common?,Both are genera of flowering plants.,plant genus,0,But the question is: “,17.679999999999996,16,10,104.60000000000005,-86.92000000000006,0,0,1
5a7e08b55542997cc2c474fe,What current NHL team owner played for the team that won the Stanley cup in 1992?,Peter Karmanos Jr.,Mario Lemieux,0,kg,17.679999999999996,16,9,116.20000000000002,-98.52000000000002,0,0,2
5a8efba955429918e830d173,Who was the narrator of the 26-episode series which featured the British national museum organization with branches at five locations in England?,David Attenborough,Michael Redgrave,0,"{""prior"": """", ""judge_answer"": """"}",17.679999999999996,16,9,119.82000000000001,-102.14000000000001,0,0,1
5a8de02b554299068b959e13,What team did Robbie Keane play for after Inter Milan?,Celtic,Republic of Ireland national team,0,"{""prior"": """", ""judge_answer"": """"}",17.679999999999996,16,9,119.82000000000001,-102.14000000000001,0,0,1
5a71674f5542994082a3e819,When was the magazine Sam Duckworth got his name Get Cape. Wear Cape. Fly from launched?,2004,January 2004,0,"{""prior"": """", ""judge_answer"": """"}",17.679999999999996,16,9,119.82000000000001,-102.14000000000001,0,0,1
5ab5574b554299488d4d994e,"Robin R. Bottin is known for his collaboration with an American director and producer who won an Academy Award, Golden Globe and BAFTA award for what movie?",The Curious Case of Benjamin Button,The Social Network,0,the only American director,17.679999999999996,16,10,121.48,-103.80000000000001,0,1,4
5add84a15542997545bbbd5e,What type of movies are 101 Dalmatians and G-Force?,animated,American family comedy adventure,0,101 Dalmatians is a movie; G-Force is not,17.679999999999996,16,10,121.48,-103.80000000000001,0,0,2
5a80b35c5542992bc0c4a7b8,Sinimole Paulose's favorite events are the 800 metres and another event that has been a contest at the Summer Olympics begining in what year?,1960,1896,0,"Hence, based solely on the knowledge graph, the answer is **",17.679999999999996,16,10,126.57999999999998,-108.89999999999999,0,0,2
5a78d38455429970f5fffd94,Who is one other client that is represented by the same person that also represents a barrister at Doughty Street Chambers?,Julian Assange,Angelina Jolie,0,perhaps the question contains a misass,17.679999999999996,16,10,126.57999999999998,-108.89999999999999,0,0,2
5a77720255429967ab10517f,"In what year did both Orson Scott Card's novel ""Ender's Game"" and Keri Hulme's ""The Bone People"" come out?",1984,1985,0,No year,17.679999999999996,16,10,126.57999999999998,-108.89999999999999,0,1,3
5ac29f58554299657fa28fe4,"The figure skater who was coached to Olympic, World, and national titles by Richard Callaghan was born in what year?",1978,1982,0,But the question assumes there is one. Perhaps it's misphrased —,17.679999999999996,16,10,126.57999999999998,-108.89999999999999,0,0,3
5adcecbd5542992c1e3a24b7,The water-based dark ride in Walt Disney is connected to a song known for what?,a theme of global peace,most performed song of all time,0,"And ""It's a Small World"" (capitalized",17.679999999999996,16,10,126.57999999999998,-108.89999999999999,0,0,2
5ae32b6755429928c4239644,Wendy Ayche was featured in 2016 in an annual production created by Youtube and what other organization?,Google,Portal A Interactive,0,YouTube,17.679999999999996,16,10,126.57999999999998,-108.89999999999999,0,0,2
5abe765a55429976d4830b1f,Who has won more olympic medals: Angelique Kerber or Amélie Mauresmo?,Angelique Kerber,Amélie Simone Mauresmo,0,"But the question is “Who has won more…?”, expecting",17.679999999999996,16,10,126.57999999999998,-108.89999999999999,0,0,3
5a88016b5542997e5c09a58a,Migene González-Wippler is leading expert on a religion that developed among which ethnic group ?,Afro-Caribbean,West African descendants,0,But instructions say “conc,17.679999999999996,16,10,132.01999999999995,-114.33999999999996,0,0,1
5abd5b0355429933744ab789,McLemore Avenue is to Booker T. & the M.G.s as what road in the city of Westminster in London is to the Beatles?,Abbey Road,"This road is best known for the Abbey Road Studios and the 1969 album, ""Abbey Road"", by The Beatles.",0,“McLemore Avenue” (a road) is the *form*,17.679999999999996,16,10,132.01999999999995,-114.33999999999996,0,0,2
5ae7a8175542993210983ed8,Which other Mexican Formula One race car driver has held the podium besides the Force India driver born in 1990?,Sergio Pérez,Pedro Rodríguez,0,Thus,17.679999999999996,16,10,132.01999999999995,-114.33999999999996,0,0,1
5abbaf6c554299660624171c,What was the profession of Cate Shortland and Sidney Franklin?,director,film director,0,writer and director of film and television; director,14.940000000000001,14,7,131.12,-116.18,0,0,1
5a7458ff55429979e2882918,"That Darn Cat and Honey, I Blew Up the Kid are both what?",Disney films,comedy,0,American comedy films,13.9,14,8,124.01999999999997,-110.11999999999996,0,0,2
5a7f18a35542994959419aa6,On which coast can the California Aqueduct and the Lake Washington Ship Canal be found?  ,Pacific Coast,west,0,neither is on a coast,13.9,14,8,127.29999999999997,-113.39999999999996,0,0,1
5a7e6df35542997cc2c47544,What was the other name of the textile mill on which The Mill was based on?,Clifton Mill #3,Styal Mill,0,Rock Hill Cotton Factory,13.9,14,8,132.15999999999997,-118.25999999999996,0,0,2
5ab57022554299637185c59e, Are Isaac Asimov and Michael Cunningham both American writers?,yes,no,0,no,13.9,14,9,135.09999999999997,-121.19999999999996,1,1,1
5a83ed9b55429933447460b8,Cistus and Stapelianthus are both forms of what?,plants,flowering plants,0,No context provided for Cistus and Stapelianthus,13.9,14,9,135.09999999999997,-121.19999999999996,0,0,1
5ab6dbc15542995eadef00cd,Securinega and Zamioculcas are both examples of what?,genus,genus of plants,0,No context provided,13.9,14,9,135.09999999999997,-121.19999999999996,0,0,1
5a8cc08455429941ae14deea,"What country is the singer from, who duets with Dave Hemingway on the song ""A Little Time""?",England,Northern Irish,0,United Kingdom,13.220000000000002,15,10,128.87999999999994,-115.65999999999994,0,0,2
5abd7aba55429924427fcfed,Were both Eugene Dynkin and Vladimir Voevodsky mathematicians from Russia?,no,yes,0,yes,13.220000000000002,15,10,139.25999999999996,-126.03999999999996,1,1,1
5a7322a25542991f9a20c634,Was the Metropolitan Life Insurance Company Tower [Met Life Tower] or the 15 Hudson Yards building designed by the firm of Napoleon LeBrun & Sons?,Met Life Tower,The Metropolitan Life Insurance Company Tower,0,Metropolitan Life Insurance Company Tower,13.220000000000002,15,10,139.95999999999995,-126.73999999999995,1,1,1
5a84fd085542994c784ddaba,Devil's Food is a singles compilation by an American rock and roll band that has also been known to play country shows under what?,"various names, including, of course, the Supersuckers",various names,0,Supersuckers,12.000000000000002,12,8,134.05999999999997,-122.05999999999997,0,0,2
5a7345ed5542992359bc32ce,Which field of studies did Semyon Aranovich Gershgorin and Anatoly Maltsev work in?,mathematics,He was a mathematician,0,no shared field,12.000000000000002,12,7,135.09999999999997,-123.09999999999997,0,0,1
5adf043b5542993a75d263d4,Which American cable news and talk radio host was the former GOP representative,Joe Scarborough,Charles Joseph,0,Charles Joseph Scarborough,12.000000000000002,12,7,138.95999999999992,-126.95999999999992,0,0,3
5ae254565542992decbdccbb,"In what year was the writer of the drama ""Ingenious"" born?",1958,1959,0,1972,11.639999999999999,12,9,130.6,-118.96,0,0,1
5ab7b0575542992aa3b8c83d,Bally's & Paris station is on the monorail that is of what length?,4.7 km,3.9 mi,0,2.1 miles,11.639999999999999,12,9,133.01999999999998,-121.37999999999998,0,0,1
