dataset,sample_index,qid,type,question,gold,prediction,em,f1,system_gap_type,system_chain_complete,gold_entity_coverage,gold_pair_recall,gold_relation_recall,gold_pair_complete,gold_nodes_connected,reader_support_title_recall,reader_evidence_entity_coverage,matched_gold_entities,missing_gold_entities,gold_evidences,strict_chain_judge,support_sufficiency_judge,conservative_meta_judge,majority_adjudication,match_votes,mismatch_votes,ambiguous_votes,adjudicated_correct,adjudication_confidence,primary_disagreement,rationale
2wiki,11,680863e20bdd11eba7f7acde48001122,compositional,Where was the place of death of the director of film Sensational Janine?,Gräfelfing,"Gräfelfing, Bavaria",0.0,0.6667,complete,True,0.6666666666666666,0.5,0.0,False,False,1.0,1.0,Hans Billian | Sensational Janine,Gräfelfing,Sensational Janine --director--> Hans Billian | Hans Billian --place of death--> Gräfelfing,mismatch,ambiguous,mismatch,mismatch,0,2,1,False,medium,True,"strict_chain_reviewer=mismatch: The system marked complete, but the saved KG does not contain a complete connected gold-evidence chain. || support_sufficiency_reviewer=ambiguous: Reader support is incomplete or answer quality is low, so completeness is not semantically certain. || conservative_meta_reviewer=mismatch: A complete label is too strong when answer/support evidence is weak."
2wiki,12,6c9b4c03086911ebbd5eac1f6bf848b6,comparison,Did Dwight Harwood and Velvet (Singer) have the same nationality?,no,no,1.0,1.0,complete,True,0.0,0.0,0.0,False,False,1.0,0.6,,American | Dwight Harwood | Sweden | Velvet (singer) | no,Dwight Harwood --country of citizenship--> American | Velvet (singer) --country of citizenship--> Sweden,mismatch,ambiguous,ambiguous,ambiguous,0,1,2,False,medium,True,"strict_chain_reviewer=mismatch: The system marked complete, but the saved KG does not contain a complete connected gold-evidence chain. || support_sufficiency_reviewer=ambiguous: Reader support is incomplete or answer quality is low, so completeness is not semantically certain. || conservative_meta_reviewer=ambiguous: The answer is good, but the KG gold-chain proxy is incomplete."
2wiki,13,77bf469e0bdc11eba7f7acde48001122,compositional,Where was the director of film Mark (Film) born?,Toronto,Canada,0.0,0.0,complete,True,0.6666666666666666,0.5,0.0,False,False,1.0,1.0,Mark | Mike Hoolboom,Toronto,Mark --director--> Mike Hoolboom | Mike Hoolboom --place of birth--> Toronto,mismatch,ambiguous,mismatch,mismatch,0,2,1,False,medium,True,"strict_chain_reviewer=mismatch: The system marked complete, but the saved KG does not contain a complete connected gold-evidence chain. || support_sufficiency_reviewer=ambiguous: Reader support is incomplete or answer quality is low, so completeness is not semantically certain. || conservative_meta_reviewer=mismatch: A complete label is too strong when answer/support evidence is weak."
2wiki,14,7e815a440bdc11eba7f7acde48001122,compositional,Who is the spouse of the performer of song Missing My Baby?,Chris Pérez,based,0.0,0.0,complete,True,0.6666666666666666,0.0,0.0,False,False,1.0,1.0,Missing My Baby | Selena,Chris Pérez,Missing My Baby --performer--> Selena | Selena --spouse--> Chris Pérez,mismatch,ambiguous,mismatch,mismatch,0,2,1,False,medium,True,"strict_chain_reviewer=mismatch: The system marked complete, but the saved KG does not contain a complete connected gold-evidence chain. || support_sufficiency_reviewer=ambiguous: Reader support is incomplete or answer quality is low, so completeness is not semantically certain. || conservative_meta_reviewer=mismatch: A complete label is too strong when answer/support evidence is weak."
2wiki,15,80774c5508f911ebbdaaac1f6bf848b6,comparison,"Which magazine came out first, Tit-Bits or Illustreret Nyhedsblad?",Illustreret Nyhedsblad,Illustreret Nyhedsblad,1.0,1.0,complete,True,0.5,0.0,0.0,False,False,1.0,1.0,Illustreret Nyhedsblad | Tit-Bits,1851 | 1881,Tit-Bits --inception--> 1881 | Illustreret Nyhedsblad --inception--> 1851,mismatch,match,ambiguous,ambiguous,1,1,1,False,low,True,"strict_chain_reviewer=mismatch: The system marked complete, but the saved KG does not contain a complete connected gold-evidence chain. || support_sufficiency_reviewer=match: Reader-visible support is sufficient and either the answer or gold-pair proxy supports completeness. || conservative_meta_reviewer=ambiguous: The answer is good, but the KG gold-chain proxy is incomplete."
2wiki,16,84cf37580bb011ebab90acde48001122,inference,"Who is John George Ii, Duke Of Saxe-Eisenach's father-in-law?","Eberhard III, Duke of Württemberg",Eberhard III,0.0,0.5714,complete,True,1.0,1.0,0.0,True,True,1.0,0.6666666666666666,"Eberhard III, Duke of Württemberg | Johann Georg II, Duke of Saxe-Eisenach | Sophie Charlotte of Württemberg",,"Johann Georg II, Duke of Saxe-Eisenach --spouse--> Sophie Charlotte of Württemberg | Sophie Charlotte of Württemberg --father--> Eberhard III, Duke of Württemberg",match,ambiguous,mismatch,ambiguous,1,1,1,False,low,True,"strict_chain_reviewer=match: Gold evidence endpoint pairs are complete and their matched nodes are connected. || support_sufficiency_reviewer=ambiguous: Reader support is incomplete or answer quality is low, so completeness is not semantically certain. || conservative_meta_reviewer=mismatch: A complete label is too strong when answer/support evidence is weak."
2wiki,17,8531b4a0089a11ebbd77ac1f6bf848b6,bridge_comparison,"Which film whose director is younger, Sujon Sokhi or Two Thousand Maniacs!?",Sujon Sokhi,Sujon Sokhi,1.0,1.0,complete,True,1.0,1.0,0.0,True,False,1.0,1.0,"11 December 1928 | Herschell Gordon Lewis | June 15, 1926 | Khan Ataur Rahman | Sujon Sokhi | Two Thousand Maniacs!",,"Sujon Sokhi --director--> Khan Ataur Rahman | Two Thousand Maniacs! --director--> Herschell Gordon Lewis | Khan Ataur Rahman --date of birth--> 11 December 1928 | Herschell Gordon Lewis --date of birth--> June 15, 1926",mismatch,match,match,match,2,1,0,True,medium,True,"strict_chain_reviewer=mismatch: The system marked complete, but the saved KG does not contain a complete connected gold-evidence chain. || support_sufficiency_reviewer=match: Reader-visible support is sufficient and either the answer or gold-pair proxy supports completeness. || conservative_meta_reviewer=match: Answer and support visibility are strong enough to accept the complete label as reviewer-facing."
2wiki,18,8ee8432c0bda11eba7f7acde48001122,compositional,When did Cristina Rodríguez (Noble)'s father die?,10 July 1099,10 July 1099,1.0,1.0,complete,True,0.6666666666666666,0.5,0.0,False,False,1.0,1.0,Cristina Rodríguez | El Cid,10 July 1099,Cristina Rodríguez --father--> El Cid | El Cid --date of death--> 10 July 1099,mismatch,match,ambiguous,ambiguous,1,1,1,False,low,True,"strict_chain_reviewer=mismatch: The system marked complete, but the saved KG does not contain a complete connected gold-evidence chain. || support_sufficiency_reviewer=match: Reader-visible support is sufficient and either the answer or gold-pair proxy supports completeness. || conservative_meta_reviewer=ambiguous: The answer is good, but the KG gold-chain proxy is incomplete."
2wiki,19,90d48f160bd911eba7f7acde48001122,compositional,Who is the spouse of the director of film Shaadi Ka Laddoo?,Mandira Bedi,Mandira Bedi,1.0,1.0,complete,True,1.0,1.0,0.0,True,True,1.0,1.0,Mandira Bedi | Raj Kaushal | Shaadi Ka Laddoo,,Shaadi Ka Laddoo --director--> Raj Kaushal | Raj Kaushal --spouse--> Mandira Bedi,match,match,match,match,3,0,0,True,high,False,strict_chain_reviewer=match: Gold evidence endpoint pairs are complete and their matched nodes are connected. || support_sufficiency_reviewer=match: Reader-visible support is sufficient and either the answer or gold-pair proxy supports completeness. || conservative_meta_reviewer=match: Answer and support visibility are strong enough to accept the complete label as reviewer-facing.
2wiki,20,9cf73a920bdd11eba7f7acde48001122,compositional,What is the place of birth of Patricia Kennedy Lawford's father?,Boston,"East Boston, Massachusetts",0.0,0.5,complete,True,0.3333333333333333,0.0,0.0,False,False,1.0,1.0,Patricia Helen Kennedy Lawford,Boston | Joseph P. Kennedy,Patricia Helen Kennedy Lawford --father--> Joseph P. Kennedy | Joseph P. Kennedy --place of birth--> Boston,mismatch,ambiguous,mismatch,mismatch,0,2,1,False,medium,True,"strict_chain_reviewer=mismatch: The system marked complete, but the saved KG does not contain a complete connected gold-evidence chain. || support_sufficiency_reviewer=ambiguous: Reader support is incomplete or answer quality is low, so completeness is not semantically certain. || conservative_meta_reviewer=mismatch: A complete label is too strong when answer/support evidence is weak."
2wiki,21,a07044500bda11eba7f7acde48001122,compositional,Where was the place of burial of Michael Wayne's father?,California,Not specified,0.0,0.0,complete,True,0.6666666666666666,0.0,0.0,False,False,1.0,1.0,John Wayne | Michael Wayne,California,Michael Wayne --father--> John Wayne | John Wayne --place of burial--> California,mismatch,ambiguous,mismatch,mismatch,0,2,1,False,medium,True,"strict_chain_reviewer=mismatch: The system marked complete, but the saved KG does not contain a complete connected gold-evidence chain. || support_sufficiency_reviewer=ambiguous: Reader support is incomplete or answer quality is low, so completeness is not semantically certain. || conservative_meta_reviewer=mismatch: A complete label is too strong when answer/support evidence is weak."
2wiki,22,ab1d47a108d211ebbd96ac1f6bf848b6,comparison,Are both Caracu River and South Fork Rogue River located in the same country?,no,no,1.0,1.0,complete,True,0.4,0.0,0.0,False,False,1.0,1.0,Caracu River | South Fork Rogue River,Brazil | U.S. | no,Caracu River --country--> Brazil | South Fork Rogue River --country--> U.S.,mismatch,match,ambiguous,ambiguous,1,1,1,False,low,True,"strict_chain_reviewer=mismatch: The system marked complete, but the saved KG does not contain a complete connected gold-evidence chain. || support_sufficiency_reviewer=match: Reader-visible support is sufficient and either the answer or gold-pair proxy supports completeness. || conservative_meta_reviewer=ambiguous: The answer is good, but the KG gold-chain proxy is incomplete."
2wiki,23,afbfedfc08c411ebbd8eac1f6bf848b6,comparison,"Who died earlier, Gunnar Kulldorff or Gordon Gibson Sr.?",Gordon Gibson Sr.,Gordon Gibson Sr,1.0,1.0,complete,True,0.75,0.5,0.0,False,False,1.0,1.0,25 June 2015 | Gordon Gibson Sr. | Gunnar Kulldorff,"July 17, 1986","Gunnar Kulldorff --date of death--> 25 June 2015 | Gordon Gibson Sr. --date of death--> July 17, 1986",mismatch,match,ambiguous,ambiguous,1,1,1,False,low,True,"strict_chain_reviewer=mismatch: The system marked complete, but the saved KG does not contain a complete connected gold-evidence chain. || support_sufficiency_reviewer=match: Reader-visible support is sufficient and either the answer or gold-pair proxy supports completeness. || conservative_meta_reviewer=ambiguous: The answer is good, but the KG gold-chain proxy is incomplete."
2wiki,24,c289098a0bdc11eba7f7acde48001122,compositional,What is the place of birth of the director of film My Country'S Wings?,Valparaíso,"Valparaíso, Chile",0.0,0.6667,complete,True,0.6666666666666666,0.5,0.0,False,False,1.0,1.0,Carlos F. Borcosque | My Country's Wings,Valparaíso,My Country's Wings --director--> Carlos F. Borcosque | Carlos F. Borcosque --place of birth--> Valparaíso,mismatch,ambiguous,mismatch,mismatch,0,2,1,False,medium,True,"strict_chain_reviewer=mismatch: The system marked complete, but the saved KG does not contain a complete connected gold-evidence chain. || support_sufficiency_reviewer=ambiguous: Reader support is incomplete or answer quality is low, so completeness is not semantically certain. || conservative_meta_reviewer=mismatch: A complete label is too strong when answer/support evidence is weak."
2wiki,25,c30906a60bd911eba7f7acde48001122,compositional,"Which country the director of film Yes, My Love is from?",Argentina,Mexico,0.0,0.0,complete,True,1.0,0.5,0.0,False,True,1.0,1.0,"Argentina | Fernando Méndez | Yes, My Love",,"Yes, My Love --director--> Fernando Méndez | Fernando Méndez --country of citizenship--> Argentina",mismatch,ambiguous,mismatch,mismatch,0,2,1,False,medium,True,"strict_chain_reviewer=mismatch: The system marked complete, but the saved KG does not contain a complete connected gold-evidence chain. || support_sufficiency_reviewer=ambiguous: Reader support is incomplete or answer quality is low, so completeness is not semantically certain. || conservative_meta_reviewer=mismatch: A complete label is too strong when answer/support evidence is weak."
2wiki,26,ce9cda1608a111ebbd79ac1f6bf848b6,comparison,"Which film was released first, My Friend Pinto or Vindhyarani?",Vindhyarani,Vindhyarani,1.0,1.0,complete,True,0.5,0.0,0.0,False,False,1.0,1.0,My Friend Pinto | Vindhyarani,1948 | 2011,My Friend Pinto --publication date--> 2011 | Vindhyarani --publication date--> 1948,mismatch,match,ambiguous,ambiguous,1,1,1,False,low,True,"strict_chain_reviewer=mismatch: The system marked complete, but the saved KG does not contain a complete connected gold-evidence chain. || support_sufficiency_reviewer=match: Reader-visible support is sufficient and either the answer or gold-pair proxy supports completeness. || conservative_meta_reviewer=ambiguous: The answer is good, but the KG gold-chain proxy is incomplete."
2wiki,27,ceadeee60bdd11eba7f7acde48001122,compositional,What nationality is the director of film Una Luz En Mi Camino?,Chilean,Chilean,1.0,1.0,complete,True,0.6666666666666666,0.5,0.0,False,False,1.0,1.0,José Bohr | Una luz en mi camino,Chilean,Una luz en mi camino --director--> José Bohr | José Bohr --country of citizenship--> Chilean,mismatch,match,ambiguous,ambiguous,1,1,1,False,low,True,"strict_chain_reviewer=mismatch: The system marked complete, but the saved KG does not contain a complete connected gold-evidence chain. || support_sufficiency_reviewer=match: Reader-visible support is sufficient and either the answer or gold-pair proxy supports completeness. || conservative_meta_reviewer=ambiguous: The answer is good, but the KG gold-chain proxy is incomplete."
2wiki,28,d17b3e17085511ebbd59ac1f6bf848b6,comparison,Who was born first out of Nikolajs Maskaļenko and Brodie Van Wagenen?,Brodie Van Wagenen,California. Brodie Van Wagenen,0.0,0.8571,complete,True,1.0,1.0,0.0,True,False,1.0,1.0,"11 February 1993 | Brodie Van Wagenen | March 9, 1974 | Nikolajs Maskaļenko",,"Nikolajs Maskaļenko --date of birth--> 11 February 1993 | Brodie Van Wagenen --date of birth--> March 9, 1974",mismatch,match,match,match,2,1,0,True,medium,True,"strict_chain_reviewer=mismatch: The system marked complete, but the saved KG does not contain a complete connected gold-evidence chain. || support_sufficiency_reviewer=match: Reader-visible support is sufficient and either the answer or gold-pair proxy supports completeness. || conservative_meta_reviewer=match: Answer and support visibility are strong enough to accept the complete label as reviewer-facing."
2wiki,29,d18d25fa084f11ebbd56ac1f6bf848b6,bridge_comparison,"Which film has the director died first, Köpekler Adası or Twisted Mistress?",Twisted Mistress,Twisted Mistress,1.0,1.0,complete,True,0.6666666666666666,0.5,0.0,False,False,1.0,1.0,André Cayatte | Halit Refiğ | Köpekler Adası | Twisted Mistress,11 October 2009 | 6 February 1989,Köpekler Adası --director--> Halit Refiğ | Twisted Mistress --director--> André Cayatte | Halit Refiğ --date of death--> 11 October 2009 | André Cayatte --date of death--> 6 February 1989,mismatch,match,ambiguous,ambiguous,1,1,1,False,low,True,"strict_chain_reviewer=mismatch: The system marked complete, but the saved KG does not contain a complete connected gold-evidence chain. || support_sufficiency_reviewer=match: Reader-visible support is sufficient and either the answer or gold-pair proxy supports completeness. || conservative_meta_reviewer=ambiguous: The answer is good, but the KG gold-chain proxy is incomplete."
2wiki,30,d2781aee086611ebbd5eac1f6bf848b6,comparison,Are The Malfated and The Fabulous Thunderbirds both from the same country?,no,no,1.0,1.0,complete,True,0.4,0.0,0.0,False,False,1.0,1.0,The Fabulous Thunderbirds | The Malfated,American | British | no,The Malfated --country of origin--> British | The Fabulous Thunderbirds --country of origin--> American,mismatch,match,ambiguous,ambiguous,1,1,1,False,low,True,"strict_chain_reviewer=mismatch: The system marked complete, but the saved KG does not contain a complete connected gold-evidence chain. || support_sufficiency_reviewer=match: Reader-visible support is sufficient and either the answer or gold-pair proxy supports completeness. || conservative_meta_reviewer=ambiguous: The answer is good, but the KG gold-chain proxy is incomplete."
2wiki,31,dfe5c5e8088211ebbd6dac1f6bf848b6,comparison,"Who was born later, Jean-Jacques Rousseau or Richard Cawley?",Richard Cawley,Richard Cawley,1.0,1.0,complete,True,1.0,1.0,0.0,True,False,1.0,0.75,28 June 1712 | 28 May 1947 | Jean-Jacques Rousseau | Richard Cawley,,Jean-Jacques Rousseau --date of birth--> 28 June 1712 | Richard Cawley --date of birth--> 28 May 1947,mismatch,ambiguous,match,ambiguous,1,1,1,False,low,True,"strict_chain_reviewer=mismatch: The system marked complete, but the saved KG does not contain a complete connected gold-evidence chain. || support_sufficiency_reviewer=ambiguous: Reader support is incomplete or answer quality is low, so completeness is not semantically certain. || conservative_meta_reviewer=match: Answer and support visibility are strong enough to accept the complete label as reviewer-facing."
2wiki,32,e715b66708be11ebbd8aac1f6bf848b6,comparison,Did Larry Godfrey and Barbara Strang share the same nationality?,yes,yes,1.0,1.0,complete,True,0.5,0.5,0.0,False,False,1.0,0.5,Barbara Strang | British,Larry Godfrey | yes,Larry Godfrey --country of citizenship--> British | Barbara Strang --country of citizenship--> British,mismatch,ambiguous,ambiguous,ambiguous,0,1,2,False,medium,True,"strict_chain_reviewer=mismatch: The system marked complete, but the saved KG does not contain a complete connected gold-evidence chain. || support_sufficiency_reviewer=ambiguous: Reader support is incomplete or answer quality is low, so completeness is not semantically certain. || conservative_meta_reviewer=ambiguous: The answer is good, but the KG gold-chain proxy is incomplete."
2wiki,33,efa871c8085611ebbd59ac1f6bf848b6,comparison,Are Nastia Liukin and Alice Gerstenberg both from the same country?,yes,yes,1.0,1.0,complete,True,0.25,0.0,0.0,False,False,1.0,0.5,Nastia Liukin,Alice Gerstenberg | American | yes,Nastia Liukin --country of citizenship--> American | Alice Gerstenberg --country of citizenship--> American,mismatch,ambiguous,ambiguous,ambiguous,0,1,2,False,medium,True,"strict_chain_reviewer=mismatch: The system marked complete, but the saved KG does not contain a complete connected gold-evidence chain. || support_sufficiency_reviewer=ambiguous: Reader support is incomplete or answer quality is low, so completeness is not semantically certain. || conservative_meta_reviewer=ambiguous: The answer is good, but the KG gold-chain proxy is incomplete."
2wiki,34,fbef09ef089511ebbd75ac1f6bf848b6,bridge_comparison,"Which film has the director died later, The Big Cube or Rangila Ratan?",Rangila Ratan,Rangila Ratan,1.0,1.0,complete,True,0.7142857142857143,0.75,0.0,False,False,1.0,0.8571428571428571,21 March 1985 | Rangila Ratan | S. Ramanathan | The Big Cube | Tito Davison,9 January 2013 | S. Ramanathan (film director),The Big Cube --director--> Tito Davison | Rangila Ratan --director--> S. Ramanathan | Tito Davison --date of death--> 21 March 1985 | S. Ramanathan (film director) --date of death--> 9 January 2013,mismatch,ambiguous,ambiguous,ambiguous,0,1,2,False,medium,True,"strict_chain_reviewer=mismatch: The system marked complete, but the saved KG does not contain a complete connected gold-evidence chain. || support_sufficiency_reviewer=ambiguous: Reader support is incomplete or answer quality is low, so completeness is not semantically certain. || conservative_meta_reviewer=ambiguous: The answer is good, but the KG gold-chain proxy is incomplete."
2wiki,35,0dc3d0280bde11eba7f7acde48001122,compositional,Which country Behter's father is from?,Khamag Mongol,Mongolia,0.0,0.0,disconnected,False,0.6666666666666666,0.5,0.0,False,False,1.0,1.0,Behter | Yesugei,Khamag Mongol,Behter --father--> Yesugei | Yesugei --country of citizenship--> Khamag Mongol,mismatch,ambiguous,ambiguous,ambiguous,0,1,2,False,medium,True,"strict_chain_reviewer=mismatch: The gold proxy does not show present-but-disconnected gold evidence nodes. || support_sufficiency_reviewer=ambiguous: The label points to a graph connection problem, but support-level evidence is not decisive. || conservative_meta_reviewer=ambiguous: The disconnected label is plausible but not cleanly confirmed by the gold proxy."
2wiki,36,1a3535d20bdd11eba7f7acde48001122,compositional,Which award the composer of film Howrah Bridge (Film) earned?,Filmfare Award,Filmfare Award,1.0,1.0,disconnected,False,0.6666666666666666,0.5,0.0,False,False,1.0,1.0,Howrah Bridge | O. P. Nayyar,Filmfare Award,Howrah Bridge --composer--> O. P. Nayyar | O. P. Nayyar --award received--> Filmfare Award,mismatch,ambiguous,ambiguous,ambiguous,0,1,2,False,medium,True,"strict_chain_reviewer=mismatch: The gold proxy does not show present-but-disconnected gold evidence nodes. || support_sufficiency_reviewer=ambiguous: The label points to a graph connection problem, but support-level evidence is not decisive. || conservative_meta_reviewer=ambiguous: The disconnected label is plausible but not cleanly confirmed by the gold proxy."
2wiki,37,3004bc240bde11eba7f7acde48001122,compositional,Which country the director of film Black Panthers (Film) is from?,French,Belgium,0.0,0.0,disconnected,False,0.6666666666666666,0.5,0.0,False,False,1.0,1.0,Agnès Varda | Black Panthers,French,Black Panthers --director--> Agnès Varda | Agnès Varda --country of citizenship--> French,mismatch,ambiguous,ambiguous,ambiguous,0,1,2,False,medium,True,"strict_chain_reviewer=mismatch: The gold proxy does not show present-but-disconnected gold evidence nodes. || support_sufficiency_reviewer=ambiguous: The label points to a graph connection problem, but support-level evidence is not decisive. || conservative_meta_reviewer=ambiguous: The disconnected label is plausible but not cleanly confirmed by the gold proxy."
