qid,question,prediction,gold,em,f1
fec1cc4a087911ebbd67ac1f6bf848b6,"Which film has the director who was born later, Así En El Cielo Como En La Tierra or Buck And The Preacher?",insufficient information,Así En El Cielo Como En La Tierra,0,0.0000
0729da3c0bde11eba7f7acde48001122,"What is the date of death of Philibert I, Duke Of Savoy's mother?",unknown,23 August 1478,0,0.0000
65a915cc0bda11eba7f7acde48001122,Which country Count Of St. Germain's father is from?,unknown,Hungarian,0,0.0000
77dc576a0bdd11eba7f7acde48001122,Where was the director of film He'S A Cockeyed Wonder born?,England,London,0,0.0000
d18d25fa084f11ebbd56ac1f6bf848b6,"Which film has the director died first, Köpekler Adası or Twisted Mistress?",Twisted Mistress,Twisted Mistress,1,1.0000
1a3535d20bdd11eba7f7acde48001122,Which award the composer of film Howrah Bridge (Film) earned?,not specified,Filmfare Award,0,0.0000
cab3205608d411ebbd98ac1f6bf848b6,"Which film came out earlier, Der Wixxer or The Butterfly Room?",Der Wixxer,Der Wixxer,1,1.0000
06df84220bda11eba7f7acde48001122,"Where was the husband of Wilhelmine Of Prussia, Margravine Of Brandenburg-Bayreuth born?",Weferlingen,Weferlingen,1,1.0000
36ecf33a0bde11eba7f7acde48001122,Where did the director of film Things Behind The Sun study?,unknown,"UCLA School of Theater, Film and Television",0,0.0000
c2ccbd23087811ebbd67ac1f6bf848b6,"Are the movies About A Wife, A Dream And Another... and The Doolins Of Oklahoma, from the same country?",no,no,1,1.0000
ce9cda1608a111ebbd79ac1f6bf848b6,"Which film was released first, My Friend Pinto or Vindhyarani?",insufficient information,Vindhyarani,0,0.0000
c4bdfbea08c911ebbd92ac1f6bf848b6,Was Ausaf Ali or Steven Perry born first?,Ausaf Ali,Ausaf Ali,1,1.0000
500cf3b40bda11eba7f7acde48001122,What is the place of birth of Aurelio De Laurentiis's father?,not specified,Torre Annunziata,0,0.0000
f0441dea0bd911eba7f7acde48001122,Where was the founder of magazine Amazing Stories born?,Luxembourg,Luxembourgish,0,0.0000
afc5b57c0bdd11eba7f7acde48001122,Where did Crow Foot's father die?,Standing Rock Indian Reservation,United States,0,0.0000
e66957060baf11ebab90acde48001122,Who is Amalie Adlerberg's stepfather?,Karl Alexander,"Karl Alexander, 5th Prince of Thurn and Taxis",0,0.4000
e1d2c3a708af11ebbd83ac1f6bf848b6,"Which film whose director is younger, Outlaw King or Gunman'S Walk?",insufficient information,Outlaw King,0,0.0000
2e2fabfc095e11ebbdafac1f6bf848b6,"Which film was released more recently, Scandal At The Girls' School or One Dangerous Night?",Scandal at the Girls' School,Scandal At The Girls' School,1,1.0000
0d4b4cfc0bde11eba7f7acde48001122,Which country Ronald Dewolf's father is from?,United States,American,0,0.0000
16915f740bdc11eba7f7acde48001122,Where was the place of death of the director of film Romulus And The Sabines?,unknown,Le Plessis-Bouchard,0,0.0000
7cb81afc0bd911eba7f7acde48001122,What is the place of birth of the director of film The Return Of Swamp Thing?,unknown,New York,0,0.0000
ff2926840bd911eba7f7acde48001122,Who is the father of the director of film The Thousand Faces Of Dunjia?,Yuen Siu-tien,Yuen Siu-tien,1,1.0000
bf3aacfc086211ebbd5dac1f6bf848b6,"Which film has the director who is older, Aardram or Land And Freedom?",insufficient information,Land And Freedom,0,0.0000
08292515088411ebbd6dac1f6bf848b6,"Which film came out first, Stella'S Oorlog or Sampathige Savaal?",Sampathige Savaal,Sampathige Savaal,1,1.0000
dfe5c5e8088211ebbd6dac1f6bf848b6,"Who was born later, Jean-Jacques Rousseau or Richard Cawley?",insufficient information,Richard Cawley,0,0.0000
7b3f24c80bdd11eba7f7acde48001122,Where did the director of film Journal Of A Crime die?,"New York, New York",New York,0,0.6667
c6339a040bdd11eba7f7acde48001122,What is the place of birth of the director of film Growing Up Smith?,unknown,Melbourne,0,0.0000
9bdc27880bda11eba7f7acde48001122,What is the place of birth of the composer of song Bullet (Misfits Song)?,unknown,"Lodi, New Jersey",0,0.0000
95fc33400bd911eba7f7acde48001122,What nationality is Prince Napoléon Bonaparte's father?,French,French,1,1.0000
680863e20bdd11eba7f7acde48001122,Where was the place of death of the director of film Sensational Janine?,"Gräfelfing, Bavaria",Gräfelfing,0,0.6667
1c5985f60bde11eba7f7acde48001122,"What is the date of death of Charles Mills, 1St Baron Hillingdon's father?",not provided,4 October 1872,0,0.0000
6034a51a093811ebbdaeac1f6bf848b6,"Do the movies Seven Sinners (1936 Film) and Everyday (Film), originate from the same country?",yes,yes,1,1.0000
01245b60088411ebbd6dac1f6bf848b6,"Which film has the director born later, Occhio, Malocchio, Prezzemolo E Finocchio or Jailhouse Rock (Film)?",insufficient information,"Occhio, Malocchio, Prezzemolo E Finocchio",0,0.0000
6392cf220bde11eba7f7acde48001122,What is the place of birth of Henrik Selberg's father?,Flora,Flora,1,1.0000
21906d320bde11eba7f7acde48001122,Where did M. K. Muthu's father die?,Kauvery Hospital in Chennai,kauvery hospital,0,0.6667
474ea44a0bb011ebab90acde48001122,"Who is the paternal grandfather of James Fitzgerald, 8Th Earl Of Desmond?","James FitzGerald, 6th Earl of Desmond","James FitzGerald, 6th Earl of Desmond",1,1.0000
063270da08af11ebbd83ac1f6bf848b6,"Which film has the director who was born later, Attack Of Life: The Bang Tango Movie or King Kong (2005 Film)?",insufficient information,Attack Of Life: The Bang Tango Movie,0,0.0000
dcfe2a500bd911eba7f7acde48001122,Where did Niklas Frank's father die?,unknown,Nuremberg,0,0.0000
16a549d40bb011ebab90acde48001122,Who is Mary Of Bourbon's paternal grandfather?,"Is “Charles, Duke of Vendôme” possibly the same as “Charles de Bourbon”? Unlikely — titles differ (Vendôme vs. Bourbon), and “Charles de Bourbon” is described as “paternal grandfather of Henry IV”,",Francis,0,0.0000
8cdd86760baf11ebab90acde48001122,Who is the paternal grandfather of Diarmait Ua Briain?,"- ""Toirdhealbhach Ua Briain -- grandson of --> Brian",Tadc mac Briain,0,0.2222
a00f22640bdb11eba7f7acde48001122,Where did the director of film Search And Destroy (1995 Film) study?,unknown,California Institute of the Arts,0,0.0000
4ca173ac0bdb11eba7f7acde48001122,What is the place of birth of the director of film Pages Of Life (Film)?,"Concepción, Chile",Concepción,0,0.6667
3bb9590e0bb011ebab90acde48001122,Who is the paternal grandfather of Uskhal Khan Tögüs Temür?,Khutughtu Khan Kusala,Khutughtu Khan,0,0.8000
a638412a0bdb11eba7f7acde48001122,Where did the director of film Carbon (Film) study?,unknown,Film and Television Institute of India,0,0.0000
f4a616ac0bae11ebab90acde48001122,"Who is the paternal grandmother of Renaud Iii, Count Of Soissons?",Adelaide,"Adelaide, Countess of Soissons",0,0.4000
1222be100baf11ebab90acde48001122,Who is Sultan Hatun's mother-in-law?,Valide Sultan Emine Hatun,Emine Hatun,0,0.6667
080aff1c0bde11eba7f7acde48001122,"What is the place of birth of Geoffrey Plantagenet, Count Of Anjou's wife?",unknown,Westminster,0,0.0000
1c0f99380bdd11eba7f7acde48001122,Where was the director of film War Of The Buttons (1994 Film) born?,unknown,"Buffalo, New York",0,0.0000
04f1ab4808c611ebbd90ac1f6bf848b6,"Which film was released more recently, Sacred Silence or Ek Haseena Thi Ek Deewana Tha?",Ek Haseena Thi Ek Deewana Tha,Ek Haseena Thi Ek Deewana Tha,1,1.0000
38056cd40bde11eba7f7acde48001122,"When did Thomas Knox, 3Rd Earl Of Ranfurly's father die?",unknown,21 March 1858,0,0.0000
4925ce16086c11ebbd61ac1f6bf848b6,"Do the bands The Gordons (Duo) and Sacred Rite (Band), originate from the same country?",no,yes,0,0.0000
3e5580c00bb011ebab90acde48001122,Who is Antoine-Charles Taschereau's paternal grandfather?,Thomas-Jacques Taschereau,Thomas-Jacques Taschereau,1,1.0000
f66aecd208bc11ebbd89ac1f6bf848b6,Do both films Masters Of The Sea (Film) and The Auction Mart have the directors from the same country?,yes,yes,1,1.0000
6a667eb40bdb11eba7f7acde48001122,"Who is the spouse of the composer of film Kalle Stropp, Grodan Boll Och Deras Vänner?",unknown,Eva Funck,0,0.0000
c8edf21008d811ebbd9cac1f6bf848b6,Do both directors of films The Curse Of Iku and Cops And Robbers (1973 Film) have the same nationality?,yes,yes,1,1.0000
bbc587ba0bda11eba7f7acde48001122,"Where was the wife of Otto I, Count Of Guelders born?",unknown,Kelheim,0,0.0000
6b0a2728087811ebbd67ac1f6bf848b6,"Who is younger, Zhang Lifang or Lalengzama Vangchhia?",Lalengzama Vangchhia,Lalengzama Vangchhia,1,1.0000
f7c2a5380bdd11eba7f7acde48001122,Where was the place of death of Thomas Sheridan (Soldier)'s father?,not specified,London,0,0.0000
c664947c086f11ebbd62ac1f6bf848b6,"Which film whose director is younger, A Social Celebrity or A Sound Of Trumpets?",insufficient information,A Sound Of Trumpets,0,0.0000
20d63fe60bdb11eba7f7acde48001122,What is the date of death of the founder of Suez Canal Company?,unknown,7 December 1894,0,0.0000
b897a2aa08cb11ebbd92ac1f6bf848b6,"Which film came out first, João Da Mata or Beautiful Girls (Film)?",João Da Mata,João Da Mata,1,1.0000
060cb332087711ebbd67ac1f6bf848b6,"Who is younger, Empress Xiaoshurui or Goran Veselinovski?",Goran Veselinovski,Goran Veselinovski,1,1.0000
c2c7992e08bd11ebbd8aac1f6bf848b6,"Which film has the director who was born later, Budak Nafsu or The Bilingual Lover?",insufficient information,Budak Nafsu,0,0.0000
77bf469e0bdc11eba7f7acde48001122,Where was the director of film Mark (Film) born?,unknown,Toronto,0,0.0000
77f5a3dc0bb011ebab90acde48001122,Who is the maternal grandfather of Princess Alexandra Of Hanover (Born 1999)?,Not specified,"Rainier III, Prince of Monaco",0,0.0000
3c9ec66a089011ebbd72ac1f6bf848b6,Are both Alex Bregman and Francesca Sterlacci from the same country?,yes,yes,1,1.0000
20806979089c11ebbd78ac1f6bf848b6,"Which film has the director who was born later, Aloha, Bobby And Rose or The Elusive Avengers?",insufficient information,"Aloha, Bobby And Rose",0,0.0000
8afe75c40bda11eba7f7acde48001122,What nationality is the performer of song Pareho Tayo?,Filipino,Filipino,1,1.0000
85cc412008b611ebbd88ac1f6bf848b6,Are the directors of both films Captain Calamity (Film) and Heaven Only Knows (Film) from the same country?,no,yes,0,0.0000
1eb0c10808d611ebbd98ac1f6bf848b6,"Which film has the director died later, The Man From Lost River or Mcveagh Of The South Seas?",insufficient information,The Man From Lost River,0,0.0000
6db45b3208bf11ebbd8aac1f6bf848b6,"Which film whose director is younger, Return Of The Hero or Home In Indiana?",Return of the Hero,Return Of The Hero,1,1.0000
1a76997408a311ebbd7bac1f6bf848b6,"Which film has the director died earlier, Crime Against Joe or Vagabonderne På Bakkegården?",not specified,Vagabonderne På Bakkegården,0,0.0000
c7ea6b080baf11ebab90acde48001122,Who is the maternal grandmother of Flavia Julia Constantia?,unnamed earlier wife of Maximian,Eutropia,0,0.0000
391fed160bb011ebab90acde48001122,Who is the paternal grandmother of Princess Feodora Of Hohenlohe-Langenburg?,unknown,Countess Amalie Henriette of Solms-Baruth,0,0.0000
714be734088c11ebbd6fac1f6bf848b6,"Which film has the director who died earlier, Slums Of Berlin or Phantom India?",unknown,Slums Of Berlin,0,0.0000
55660c0a086b11ebbd5fac1f6bf848b6,"Which film has the director who was born earlier, Toto In Paris or The Railroad Man?",unknown,Toto In Paris,0,0.0000
5f2bce30088111ebbd6dac1f6bf848b6,Do both films King Uncle and Kanyaka (Film) have the directors from the same country?,Since the question is factual and,yes,0,0.0000
28986e180bde11eba7f7acde48001122,Where was the place of death of Anne Devereux's husband?,unknown,Banbury,0,0.0000
008b58060baf11ebab90acde48001122,"Who is Augustus Berkeley, 4Th Earl Of Berkeley's maternal grandmother?",unknown,Anne Brudenell,0,0.0000
7be06c080baf11ebab90acde48001122,Who is the paternal grandfather of Chiang Hsiao-Wu?,insufficient information,Chiang Kai-shek,0,0.0000
952c943508a311ebbd7bac1f6bf848b6,"Which museum was founded first, Casoria Contemporary Art Museum or Leverian Collection?",- Since the triples contain *,Leverian Collection,0,0.0000
fbef09ef089511ebbd75ac1f6bf848b6,"Which film has the director died later, The Big Cube or Rangila Ratan?",Rangila Ratan,Rangila Ratan,1,1.0000
f3fb7e0708b411ebbd88ac1f6bf848b6,"Which film has the director who was born later, I'Ll Take Sweden or His Majesty, The American?",But wait — re-check: Is there *any*,I'Ll Take Sweden,0,0.0000
c4f5ca80089611ebbd76ac1f6bf848b6,"Which film has the director who is older, A Medal For Benny or King Of Chinatown?",insufficient information,A Medal For Benny,0,0.0000
086e57720bdb11eba7f7acde48001122,What nationality is Julia Parker (Astrologer)'s husband?,unknown,British,0,0.0000
803aef7808d311ebbd96ac1f6bf848b6,"Are the directors of films Who Are You, Polly Maggoo? and Mother Night (Film) both from the same country?",insufficient information,yes,0,0.0000
40b3f66a08cb11ebbd92ac1f6bf848b6,"Which film was released more recently, Fine Dead Girls or Venussian Tabutasco?",Venussian Tabutasco,Venussian Tabutasco,1,1.0000
f7a6322e08c511ebbd8fac1f6bf848b6,"Do both films, Humko Deewana Kar Gaye and Dozakh In Search Of Heaven, have the directors who are from the same country?",yes,yes,1,1.0000
9bdf26a0085a11ebbd5cac1f6bf848b6,"Who lived longer, Neil Lloyd Macky or Domenico Cosselli?",insufficient information,Neil Lloyd Macky,0,0.0000
bf3fd3ba08cd11ebbd93ac1f6bf848b6,"Which film has the director born earlier, Farfallon or Man On The Tracks?",insufficient information,Man On The Tracks,0,0.0000
2e4716e6089d11ebbd78ac1f6bf848b6,"Which film has the director who was born earlier, Legend Of The Inca Bridge or Gangs Of New York?",insufficient information,Legend Of The Inca Bridge,0,0.0000
61c4c7c008de11ebbd9eac1f6bf848b6,"Which film has the director died later, Romeo, Juliet And Darkness or I Can Explain?","Romeo, Juliet and Darkness","Romeo, Juliet And Darkness",1,1.0000
3717fcf80bdc11eba7f7acde48001122,What is the place of birth of the director of film Alien From L.A.?,not specified,Hawaii,0,0.0000
76b367b4088311ebbd6dac1f6bf848b6,"Which film has the director who was born first, The Gigolos or More About The Children Of Noisy Village?",insufficient information,More About The Children Of Noisy Village,0,0.0000
69ef20980bdc11eba7f7acde48001122,Where was the director of film The Planet (Film) born?,Bollnäs,Bollnäs,1,1.0000
ab1d47a108d211ebbd96ac1f6bf848b6,Are both Caracu River and South Fork Rogue River located in the same country?,no,no,1,1.0000
2b81a68e099611ebbdb0ac1f6bf848b6,Are Guancangping Railway Station and Yangquan North Railway Station both located in the same country?,yes,yes,1,1.0000
e0681b8c0bda11eba7f7acde48001122,When was the director of film I Want Someone To Eat Cheese With born?,"June 5, 1962","June 5, 1962",1,1.0000
57c12b50094711ebbdaeac1f6bf848b6,"Which album was released earlier, American Tunes or I'M In Love Again?",I'm In Love Again,I'M In Love Again,1,1.0000
237d904a0bdc11eba7f7acde48001122,Where was the mother of Maria Of Jülich-Berg born?,Ansbach,Ansbach,1,1.0000
2c06f0a60bde11eba7f7acde48001122,Where did Baha Al-Dawla's father die?,not specified,Baghdad,0,0.0000
21852d1e0bde11eba7f7acde48001122,Who is the spouse of the director of film Fire-Eater (Film)?,unknown,Pirkko Saisio,0,0.0000
3c9020cd097811ebbdb0ac1f6bf848b6,"Which film was released more recently, Paul Temple'S Triumph or The Quick And The Undead?",The Quick and the Undead,The Quick And The Undead,1,1.0000
84d526bd088711ebbd6dac1f6bf848b6,Do both films The Dust Of Naples and Col Cuore In Gola have the directors that share the same nationality?,yes,yes,1,1.0000
6b6a5a7f092e11ebbdaeac1f6bf848b6,"Which film came out earlier, La Marca De Satanás or Sofia'S Last Ambulance?",La Marca de Satanás,La Marca De Satanás,1,1.0000
c0085d55088111ebbd6dac1f6bf848b6,"Which film has the director born earlier, High Society Blues or Counterblast?",Counterblast,Counterblast,1,1.0000
7529522e0bde11eba7f7acde48001122,"Where was the place of death of the composer of song Hail, Hail, The Gang'S All Here?",unknown,London,0,0.0000
6e921fa8085d11ebbd5cac1f6bf848b6,Are Justine Lupe and Mark Kistler both from the same country?,yes,yes,1,1.0000
f6201efa0bdc11eba7f7acde48001122,Who is the spouse of the director of film Confidentially Connie?,unknown,Ona Munson,0,0.0000
6d68448a0bdb11eba7f7acde48001122,Which award the performer of song Constantemente Mía got?,Sanremo Music Festival 2015,Sanremo Music Festival,0,0.8571
eb3fdf6208bb11ebbd88ac1f6bf848b6,"Which film has the director who died later, The Devil And Miss Jones or The Man In The Funny Suit?",insufficient information,The Man In The Funny Suit,0,0.0000
1ca3370c0bdc11eba7f7acde48001122,What nationality is the performer of song Gone Fishin' (Song)?,unknown,America,0,0.0000
ca7775140bdc11eba7f7acde48001122,Who is the spouse of the director of film The Thin Line (1980 Film)?,Moshé Mizrahi,Moshé Mizrahi,1,1.0000
955eafcc089f11ebbd78ac1f6bf848b6,"Who lived longer, Octavius Hammond or Curumsey Damjee?",insufficient information,Curumsey Damjee,0,0.0000
03e971d208d911ebbd9cac1f6bf848b6,Do both directors of films The Wrath Of Silence and Legend Of The Fox have the same nationality?,unknown,yes,0,0.0000
547835de087f11ebbd6bac1f6bf848b6,"Who was born later, Park So-Jin or Joseph M. Pettit?",unknown,Park So-Jin,0,0.0000
77803f9c084b11ebbd56ac1f6bf848b6,"Which film was released first, Taxi! or What'S Your Hurry??",Since Taxi! has an explicit,What'S Your Hurry?,0,0.0000
5b66327608f011ebbda8ac1f6bf848b6,"Who was born later, Narayana Kasturi or Sigismund Toduță?",Cannot be determined,Sigismund Toduță,0,0.0000
432d5c5c08aa11ebbd80ac1f6bf848b6,"Which school was founded first, Colegio Israelita De México or Waldorf University?",Waldorf University,Waldorf University,1,1.0000
0464f5040bdc11eba7f7acde48001122,Where does the director of film The Witnesses work at?,unknown,Cahiers du cinéma,0,0.0000
1aec8f200bb011ebab90acde48001122,Who is Myat Phaya's maternal grandmother?,unknown,Hsinbyumashin,0,0.0000
5d87207a0bb011ebab90acde48001122,Who is Badi-Al Zaman Mirza Safavi's mother-in-law?,Sultan-Agha Khanum,Sultan-Agha Khanum,1,1.0000
12372ebd08e711ebbda5ac1f6bf848b6,"Which film was released more recently, Secret Of St. Job Forest or Kenny Begins?",Kenny Begins,Kenny Begins,1,1.0000
8d91d1b60bb011ebab90acde48001122,"Who is Eleanor Of Aragon, Countess Of Toulouse's paternal grandfather?",Ramon Berenguer IV,Ramon Berenguer IV,1,1.0000
9564cd35089311ebbd75ac1f6bf848b6,"Do the movies Before The Streets and Buchanan Rides Alone, originate from the same country?",no,no,1,1.0000
b86223c60bda11eba7f7acde48001122,Where was the place of death of the director of film Curse Of The Crimson Altar?,unknown,"Durban, South Africa",0,0.0000
a3561235086b11ebbd5fac1f6bf848b6,"Which film was released more recently, The Singing Fool or La Ragazzola?",La Ragazzola,La Ragazzola,1,1.0000
1e1d8778088e11ebbd70ac1f6bf848b6,"Which film has the director who died earlier, Naa Mechida Huduga or The Countess Died Of Laughter?",insufficient information,The Countess Died Of Laughter,0,0.0000
0bad718c0bb011ebab90acde48001122,Who is the paternal grandfather of Margaret Drummond (Mistress)?,Sir Malcolm Drummond,Sir Malcolm Drummond of Cargill,0,0.7500
ef5046be0bae11ebab90acde48001122,"Who is the paternal grandmother of Edward Despenser, 1St Baron Despenser?",- “Edward le Despenser -- was a son of --> Eleanor,Eleanor de Clare,0,0.2000
8a0ed810089d11ebbd78ac1f6bf848b6,"Which film has the director who was born first, Angel And The Badman or Happy Days In Aranjuez?",insufficient information,Happy Days In Aranjuez,0,0.0000
cd0964240bda11eba7f7acde48001122,Where was the place of burial of Marie-Louise Loubet's husband?,unknown,Montélimar,0,0.0000
632cef18089111ebbd73ac1f6bf848b6,"Which film whose director is younger, The Last Face or The Jackhammer Massacre?",insufficient information,The Last Face,0,0.0000
e0bdd2a808d211ebbd96ac1f6bf848b6,"Which film whose director was born first, Maker Of Men or Kentucky Kernels?",Not determinable,Maker Of Men,0,0.0000
754af08e0bdc11eba7f7acde48001122,Who is the father of the performer of song Don'T Touch My Hair?,unknown,Mathew Knowles,0,0.0000
2fd031c00bde11eba7f7acde48001122,Where did the director of film Desolation Angels (1995 Film) graduate from?,SUNY Purchase,State University of New York at Purchase,0,0.2222
7e32dd080bda11eba7f7acde48001122,What is the place of birth of the director of film I'M Not Mata Hari?,Madrid,Madrid,1,1.0000
8a742e660bdd11eba7f7acde48001122,What is the award that the director of film Napoleon (1995 Film) got?,International Emmy Award,Emmy Award,0,0.8000
57c03881088f11ebbd72ac1f6bf848b6,"Which film has the director who was born first, The Girl In 419 or Dunked In The Deep?",insufficient information,The Girl In 419,0,0.0000
145752ee085e11ebbd5cac1f6bf848b6,Was Recep Çetin or Kim Ho born first?,Kim Ho,Kim Ho,1,1.0000
482773fc0baf11ebab90acde48001122,Who is Robert Vere Buxton's paternal grandfather?,unknown,"Sir Edward Buxton, 2nd Baronet",0,0.0000
de64290e0bdd11eba7f7acde48001122,Where was the place of burial of Dovid Bornsztain's father?,Not specified,Sochaczew,0,0.0000
fe1fa9c008d211ebbd96ac1f6bf848b6,Who was born first out of Ole Jakobsen and Finnbjörn Þorvaldsson?,Cannot be determined,Finnbjörn Þorvaldsson,0,0.0000
b118f26308f011ebbda8ac1f6bf848b6,"Who was born later, Brahima Cissé or Väinö Malmivaara?",Brahima Cissé,Brahima Cissé,1,1.0000
8df60c32088411ebbd6dac1f6bf848b6,Are The Untouchables (Film) and Meeting Venus from the same country?,yes,yes,1,1.0000
c4aa6c280bdb11eba7f7acde48001122,Who is the spouse of the director of film The Golden Calf (1930 Film)?,Lydia Stocking,Mary Eaton,0,0.0000
6837abca0bb011ebab90acde48001122,"Who is Princess Adrienne, Duchess Of Blekinge's mother?","But — crucially — there is: ""Princess Madeleine -- is --> mother"". And only one person in the graph is identified as “Princess Madeleine” and also as a mother — and Adrienne is a princess of","Princess Madeleine, Duchess of Hälsingland and Gästrikland",0,0.2105
55605b7a08b811ebbd88ac1f6bf848b6,"Which film was released more recently, Daredevil'S Time or Paid In Error?",Daredevil's Time,Daredevil'S Time,1,1.0000
363fd4380bda11eba7f7acde48001122,Where was the place of death of Teresa D'Entença's husband?,unknown,Barcelona,0,0.0000
18abce6a08ae11ebbd83ac1f6bf848b6,"Which film whose director is younger, I Was A Student At Heidelberg or Deadly Eyes?",insufficient information,Deadly Eyes,0,0.0000
e41c14820bd911eba7f7acde48001122,Where does the director of film Man At Bath work at?,unknown,Cahiers du cinéma,0,0.0000
c5e7570c0bdd11eba7f7acde48001122,Where did the director of film The Marihuana Story die?,unknown,Madrid,0,0.0000
dc80e30908da11ebbd9cac1f6bf848b6,"Which film came out earlier, Hell And Back Again or Buster & Chauncey'S Silent Night?",Buster & Chauncey's Silent Night,Buster & Chauncey'S Silent Night,1,1.0000
daad21e40bdd11eba7f7acde48001122,Where was the husband of Emily Davenport born?,"Williamstown, Vermont","Williamstown, Vermont",1,1.0000
f1a04d600bdb11eba7f7acde48001122,What is the place of birth of the director of film Dollar (1938 Film)?,Helsingfors,Helsingfors,1,1.0000
07d6f60c085c11ebbd5cac1f6bf848b6,"Which film has the director who is older than the other, The Man With The Glass Eye or The Pom Pom Girls? ",insufficient information,The Man With The Glass Eye,0,0.0000
1c16807e08a211ebbd7aac1f6bf848b6,"Which film has the director died earlier, The Nun And The Devil or Aladdin'S Other Lamp?",Aladdin's Other Lamp,Aladdin'S Other Lamp,1,1.0000
f8fe7fc80bae11ebab90acde48001122,Who is Shamsher Bahadur I (Krishna Rao)'s maternal grandfather?,Maharaja Chhatrasal,Chhatrasal,0,0.6667
bc5a9fef086c11ebbd61ac1f6bf848b6,"Who died later, Giovanni Dei Conti Di Segni or Sakari Simelius?",Sakari Simelius,Sakari Simelius,1,1.0000
bacc6ba00bdd11eba7f7acde48001122,Who is the child of the director of film Anna (1970 Film)?,unknown,Johan Donner,0,0.0000
