qid,question,prediction,gold,em,f1,error
bf3fd3ba08cd11ebbd93ac1f6bf848b6,"Which film has the director born earlier, Farfallon or Man On The Tracks?",Man on the Tracks,Man On The Tracks,1,1.0000,
2e4716e6089d11ebbd78ac1f6bf848b6,"Which film has the director who was born earlier, Legend Of The Inca Bridge or Gangs Of New York?",Legend Of The Inca Bridge,Legend Of The Inca Bridge,1,1.0000,
61c4c7c008de11ebbd9eac1f6bf848b6,"Which film has the director died later, Romeo, Juliet And Darkness or I Can Explain?","Romeo, Juliet and Darkness","Romeo, Juliet And Darkness",1,1.0000,
3717fcf80bdc11eba7f7acde48001122,What is the place of birth of the director of film Alien From L.A.?,No evidence provides place of,Hawaii,0,0.0000,
76b367b4088311ebbd6dac1f6bf848b6,"Which film has the director who was born first, The Gigolos or More About The Children Of Noisy Village?",More About the Children Of Noisy Village,More About The Children Of Noisy Village,1,1.0000,
69ef20980bdc11eba7f7acde48001122,Where was the director of film The Planet (Film) born?,Bollnäs,Bollnäs,1,1.0000,
ab1d47a108d211ebbd96ac1f6bf848b6,Are both Caracu River and South Fork Rogue River located in the same country?,no,no,1,1.0000,
2b81a68e099611ebbdb0ac1f6bf848b6,Are Guancangping Railway Station and Yangquan North Railway Station both located in the same country?,yes,yes,1,1.0000,
e0681b8c0bda11eba7f7acde48001122,When was the director of film I Want Someone To Eat Cheese With born?,"June 5, 1962","June 5, 1962",1,1.0000,
57c12b50094711ebbdaeac1f6bf848b6,"Which album was released earlier, American Tunes or I'M In Love Again?",I'm In Love Again,I'M In Love Again,1,1.0000,
237d904a0bdc11eba7f7acde48001122,Where was the mother of Maria Of Jülich-Berg born?,Ansbach,Ansbach,1,1.0000,
2c06f0a60bde11eba7f7acde48001122,Where did Baha Al-Dawla's father die?,未提及,Baghdad,0,0.0000,
21852d1e0bde11eba7f7acde48001122,Who is the spouse of the director of film Fire-Eater (Film)?,Pirkko Saisio,Pirkko Saisio,1,1.0000,
3c9020cd097811ebbdb0ac1f6bf848b6,"Which film was released more recently, Paul Temple'S Triumph or The Quick And The Undead?",The Quick and the Undead,The Quick And The Undead,1,1.0000,
84d526bd088711ebbd6dac1f6bf848b6,Do both films The Dust Of Naples and Col Cuore In Gola have the directors that share the same nationality?,yes,yes,1,1.0000,
6b6a5a7f092e11ebbdaeac1f6bf848b6,"Which film came out earlier, La Marca De Satanás or Sofia'S Last Ambulance?",La Marca de Satanás,La Marca De Satanás,1,1.0000,
c0085d55088111ebbd6dac1f6bf848b6,"Which film has the director born earlier, High Society Blues or Counterblast?",Counterblast,Counterblast,1,1.0000,
7529522e0bde11eba7f7acde48001122,"Where was the place of death of the composer of song Hail, Hail, The Gang'S All Here?",The composer of the tune for,London,0,0.0000,
6e921fa8085d11ebbd5cac1f6bf848b6,Are Justine Lupe and Mark Kistler both from the same country?,yes,yes,1,1.0000,
f6201efa0bdc11eba7f7acde48001122,Who is the spouse of the director of film Confidentially Connie?,Lorraine Miller,Ona Munson,0,0.0000,
6d68448a0bdb11eba7f7acde48001122,Which award the performer of song Constantemente Mía got?,Sanremo Music Festival 2015,Sanremo Music Festival,0,0.8571,
eb3fdf6208bb11ebbd88ac1f6bf848b6,"Which film has the director who died later, The Devil And Miss Jones or The Man In The Funny Suit?",The Man in the Funny Suit,The Man In The Funny Suit,1,1.0000,
1ca3370c0bdc11eba7f7acde48001122,What nationality is the performer of song Gone Fishin' (Song)?,American,America,0,0.0000,
ca7775140bdc11eba7f7acde48001122,Who is the spouse of the director of film The Thin Line (1980 Film)?,Moshé Mizrahi,Moshé Mizrahi,1,1.0000,
955eafcc089f11ebbd78ac1f6bf848b6,"Who lived longer, Octavius Hammond or Curumsey Damjee?",Curumsey Damjee,Curumsey Damjee,1,1.0000,
03e971d208d911ebbd9cac1f6bf848b6,Do both directors of films The Wrath Of Silence and Legend Of The Fox have the same nationality?,yes,yes,1,1.0000,
547835de087f11ebbd6bac1f6bf848b6,"Who was born later, Park So-Jin or Joseph M. Pettit?",Park So-Jin,Park So-Jin,1,1.0000,
77803f9c084b11ebbd56ac1f6bf848b6,"Which film was released first, Taxi! or What'S Your Hurry??",What's Your Hurry,What'S Your Hurry?,1,1.0000,
5b66327608f011ebbda8ac1f6bf848b6,"Who was born later, Narayana Kasturi or Sigismund Toduță?",Sigismund Toduță,Sigismund Toduță,1,1.0000,
432d5c5c08aa11ebbd80ac1f6bf848b6,"Which school was founded first, Colegio Israelita De México or Waldorf University?",Waldorf University,Waldorf University,1,1.0000,
0464f5040bdc11eba7f7acde48001122,Where does the director of film The Witnesses work at?,French film director,Cahiers du cinéma,0,0.0000,
1aec8f200bb011ebab90acde48001122,Who is Myat Phaya's maternal grandmother?,Queen of Alenandaw,Hsinbyumashin,0,0.0000,
5d87207a0bb011ebab90acde48001122,Who is Badi-Al Zaman Mirza Safavi's mother-in-law?,Sultan-Agha Khanum,Sultan-Agha Khanum,1,1.0000,
12372ebd08e711ebbda5ac1f6bf848b6,"Which film was released more recently, Secret Of St. Job Forest or Kenny Begins?",Kenny Begins,Kenny Begins,1,1.0000,
8d91d1b60bb011ebab90acde48001122,"Who is Eleanor Of Aragon, Countess Of Toulouse's paternal grandfather?",Count Ramon Berenguer IV,Ramon Berenguer IV,0,0.8571,
9564cd35089311ebbd75ac1f6bf848b6,"Do the movies Before The Streets and Buchanan Rides Alone, originate from the same country?",no,no,1,1.0000,
b86223c60bda11eba7f7acde48001122,Where was the place of death of the director of film Curse Of The Crimson Altar?,"Durban, South Africa","Durban, South Africa",1,1.0000,
a3561235086b11ebbd5fac1f6bf848b6,"Which film was released more recently, The Singing Fool or La Ragazzola?",La Ragazzola,La Ragazzola,1,1.0000,
1e1d8778088e11ebbd70ac1f6bf848b6,"Which film has the director who died earlier, Naa Mechida Huduga or The Countess Died Of Laughter?",The Countess Died of Laughter,The Countess Died Of Laughter,1,1.0000,
0bad718c0bb011ebab90acde48001122,Who is the paternal grandfather of Margaret Drummond (Mistress)?,Sir Malcolm Drummond,Sir Malcolm Drummond of Cargill,0,0.7500,
ef5046be0bae11ebab90acde48001122,"Who is the paternal grandmother of Edward Despenser, 1St Baron Despenser?","“Edward le Despenser, 1st Baron Des",Eleanor de Clare,0,0.0000,
8a0ed810089d11ebbd78ac1f6bf848b6,"Which film has the director who was born first, Angel And The Badman or Happy Days In Aranjuez?",Happy Days in Aranjuez,Happy Days In Aranjuez,1,1.0000,
cd0964240bda11eba7f7acde48001122,Where was the place of burial of Marie-Louise Loubet's husband?,Montélimar,Montélimar,1,1.0000,
632cef18089111ebbd73ac1f6bf848b6,"Which film whose director is younger, The Last Face or The Jackhammer Massacre?",The Last Face,The Last Face,1,1.0000,
e0bdd2a808d211ebbd96ac1f6bf848b6,"Which film whose director was born first, Maker Of Men or Kentucky Kernels?",Maker of Men,Maker Of Men,1,1.0000,
754af08e0bdc11eba7f7acde48001122,Who is the father of the performer of song Don'T Touch My Hair?,Mathew Knowles,Mathew Knowles,1,1.0000,
2fd031c00bde11eba7f7acde48001122,Where did the director of film Desolation Angels (1995 Film) graduate from?,State University of New York at Purchase,State University of New York at Purchase,1,1.0000,
7e32dd080bda11eba7f7acde48001122,What is the place of birth of the director of film I'M Not Mata Hari?,Madrid,Madrid,1,1.0000,
8a742e660bdd11eba7f7acde48001122,What is the award that the director of film Napoleon (1995 Film) got?,International Emmy Award,Emmy Award,0,0.8000,
57c03881088f11ebbd72ac1f6bf848b6,"Which film has the director who was born first, The Girl In 419 or Dunked In The Deep?",The Girl in 419,The Girl In 419,1,1.0000,
145752ee085e11ebbd5cac1f6bf848b6,Was Recep Çetin or Kim Ho born first?,Kim Ho,Kim Ho,1,1.0000,
482773fc0baf11ebab90acde48001122,Who is Robert Vere Buxton's paternal grandfather?,Sir Edward Buxton,"Sir Edward Buxton, 2nd Baronet",0,0.7500,
de64290e0bdd11eba7f7acde48001122,Where was the place of burial of Dovid Bornsztain's father?,Not specified,Sochaczew,0,0.0000,
fe1fa9c008d211ebbd96ac1f6bf848b6,Who was born first out of Ole Jakobsen and Finnbjörn Þorvaldsson?,Finnbjörn Þorvaldsson,Finnbjörn Þorvaldsson,1,1.0000,
b118f26308f011ebbda8ac1f6bf848b6,"Who was born later, Brahima Cissé or Väinö Malmivaara?","CE.
Brahima Cissé",Brahima Cissé,0,0.8000,
8df60c32088411ebbd6dac1f6bf848b6,Are The Untouchables (Film) and Meeting Venus from the same country?,no,yes,0,0.0000,
c4aa6c280bdb11eba7f7acde48001122,Who is the spouse of the director of film The Golden Calf (1930 Film)?,Mary Eaton,Mary Eaton,1,1.0000,
6837abca0bb011ebab90acde48001122,"Who is Princess Adrienne, Duchess Of Blekinge's mother?",Princess Madeleine,"Princess Madeleine, Duchess of Hälsingland and Gästrikland",0,0.4444,
55605b7a08b811ebbd88ac1f6bf848b6,"Which film was released more recently, Daredevil'S Time or Paid In Error?",Daredevil's Time,Daredevil'S Time,1,1.0000,
363fd4380bda11eba7f7acde48001122,Where was the place of death of Teresa D'Entença's husband?,Unknown,Barcelona,0,0.0000,
18abce6a08ae11ebbd83ac1f6bf848b6,"Which film whose director is younger, I Was A Student At Heidelberg or Deadly Eyes?",Deadly Eyes,Deadly Eyes,1,1.0000,
e41c14820bd911eba7f7acde48001122,Where does the director of film Man At Bath work at?,Paris,Cahiers du cinéma,0,0.0000,
c5e7570c0bdd11eba7f7acde48001122,Where did the director of film The Marihuana Story die?,Madrid,Madrid,1,1.0000,
dc80e30908da11ebbd9cac1f6bf848b6,"Which film came out earlier, Hell And Back Again or Buster & Chauncey'S Silent Night?",Buster & Chauncey's Silent Night,Buster & Chauncey'S Silent Night,1,1.0000,
daad21e40bdd11eba7f7acde48001122,Where was the husband of Emily Davenport born?,"Williamstown, Vermont","Williamstown, Vermont",1,1.0000,
f1a04d600bdb11eba7f7acde48001122,What is the place of birth of the director of film Dollar (1938 Film)?,Helsingfors,Helsingfors,1,1.0000,
07d6f60c085c11ebbd5cac1f6bf848b6,"Which film has the director who is older than the other, The Man With The Glass Eye or The Pom Pom Girls? ",The Man with the Glass Eye,The Man With The Glass Eye,1,1.0000,
1c16807e08a211ebbd7aac1f6bf848b6,"Which film has the director died earlier, The Nun And The Devil or Aladdin'S Other Lamp?",Aladdin's Other Lamp,Aladdin'S Other Lamp,1,1.0000,
